,ngram,count
0,"('studies',)",2
1,"('in',)",37
2,"('sakesl',)",1
3,"('ealle',)",1
4,"('by',)",8
5,"('richard',)",2
6,"('grant',)",1
7,"('white',)",4
8,"('editor',)",1
9,"('or',)",6
10,"('tho',)",1
11,"('rliverside',)",1
12,"('of',)",75
13,"('shakespearo',)",1
14,"('s',)",11
15,"('works',)",1
16,"('bostoln',)",1
17,"('hioughton',)",1
18,"('co',)",2
19,"('probably',)",1
20,"('no',)",4
21,"('one',)",7
22,"('will',)",2
23,"('deny',)",1
24,"('that',)",27
25,"('the',)",79
26,"('death',)",1
27,"('granit',)",1
28,"('wlhite',)",3
29,"('we',)",3
30,"('have',)",7
31,"('lost',)",1
32,"('our',)",3
33,"('best',)",1
34,"('sliakespeare',)",1
35,"('mr',)",8
36,"('traversed',)",1
37,"('a',)",28
38,"('large',)",1
39,"('area',)",1
40,"('englisli',)",1
41,"('and',)",33
42,"('as',)",9
43,"('critic',)",1
44,"('uses',)",1
45,"('he',)",16
46,"('rendered',)",1
47,"('his',)",25
48,"('countrymen',)",1
49,"('o',)",3
50,"('small',)",1
51,"('service',)",1
52,"('most',)",7
53,"('thorough',)",1
54,"('vork',)",1
55,"('was',)",8
56,"('done',)",1
57,"('field',)",1
58,"('shakespearean',)",3
59,"('to',)",28
60,"('readers',)",1
61,"('avail',)",1
62,"('themselves',)",1
63,"('largest',)",2
64,"('work',)",8
65,"('this',)",8
66,"('volume',)",4
67,"('be',)",5
68,"('it',)",13
69,"('is',)",28
70,"('u',)",1
71,"('ot',)",1
72,"('articles',)",1
73,"('author',)",3
74,"('contributed',)",1
75,"('magazines',)",1
76,"('some',)",5
77,"('fresh',)",1
78,"('matter',)",2
79,"('on',)",7
80,"('shakespeare',)",22
81,"('glossa',)",1
82,"('ries',)",1
83,"('lexicons',)",1
84,"('book',)",3
85,"('has',)",6
86,"('interest',)",1
87,"('because',)",1
88,"('thc',)",4
89,"('preparation',)",1
90,"('last',)",1
91,"('its',)",2
92,"('revised',)",1
93,"('for',)",12
94,"('anid',)",4
95,"('they',)",4
96,"('therefore',)",1
97,"('present',)",1
98,"('matured',)",2
99,"('opinions',)",1
100,"('sub',)",1
101,"('jects',)",1
102,"('divided',)",1
103,"('mito',)",1
104,"('four',)",1
105,"('parts',)",1
106,"('i',)",4
107,"('reading',)",2
108,"('ii',)",1
109,"('narrative',)",1
110,"('analysis',)",1
111,"('iii',)",1
112,"('miscellaneous',)",1
113,"('iv',)",1
114,"('expositors',)",1
115,"('thie',)",3
116,"('characteristics',)",1
117,"('are',)",9
118,"('brightness',)",1
119,"('animation',)",1
120,"('never',)",1
121,"('dull',)",1
122,"('obscure',)",1
123,"('long',)",3
124,"('life',)",3
125,"('criticism',)",1
126,"('lie',)",16
127,"('had',)",7
128,"('ac',)",1
129,"('strong',)",2
130,"('always',)",4
131,"('art',)",2
132,"('ex',)",3
133,"('pressing',)",1
134,"('them',)",3
135,"('strongly',)",2
136,"('even',)",6
137,"('vet',)",1
138,"('us',)",2
139,"('stur',)",1
140,"('prised',)",1
141,"('ind',)",1
142,"('l',)",1
143,"('belief',)",1
144,"('capacity',)",1
145,"('critical',)",1
146,"('there',)",2
147,"('expression',)",1
148,"('remarkably',)",1
149,"('reasonable',)",2
150,"('write',)",2
151,"('very',)",5
152,"('gross',)",1
153,"('errors',)",1
154,"('but',)",6
155,"('wouild',)",3
156,"('any',)",4
157,"('onme',)",2
158,"('faithful',)",1
159,"('with',)",8
160,"('less',)",2
161,"('such',)",2
162,"('an',)",5
163,"('absence',)",1
164,"('few',)",2
165,"('books',)",1
166,"('size',)",1
167,"('so',)",4
168,"('must',)",1
169,"('search',)",1
170,"('find',)",3
171,"('whichi',)",1
172,"('lias',)",1
173,"('attractive',)",2
174,"('oil',)",1
175,"('w',)",2
176,"('hite',)",1
177,"('wrote',)",1
178,"('whio',)",1
179,"('all',)",6
180,"('about',)",2
181,"('subject',)",3
182,"('yet',)",1
183,"('could',)",1
184,"('those',)",1
185,"('little',)",2
186,"('expresses',)",1
187,"('shake',)",3
188,"('speare',)",3
189,"('lovers',)",1
190,"('love',)",1
191,"('upon',)",1
192,"('thiem',)",1
193,"('before',)",1
194,"('case',)",2
195,"('ih',)",1
196,"('tells',)",1
197,"('young',)",1
198,"('reader',)",1
199,"('may',)",2
200,"('at',)",3
201,"('first',)",3
202,"('do',)",6
203,"('cdi',)",1
204,"('plays',)",5
205,"('good',)",2
206,"('leave',)",1
207,"('ini',)",1
208,"('th',)",1
209,"('way',)",2
210,"('lc',)",1
211,"('mav',)",1
212,"('great',)",1
213,"('deal',)",1
214,"('cami',)",1
215,"('olie',)",1
216,"('aiy',)",1
217,"('harm',)",1
218,"('r',)",1
219,"('wliite',)",1
220,"('withi',)",2
221,"('regard',)",1
222,"('sliakespearc',)",1
223,"('set',)",2
224,"('forth',)",1
225,"('these',)",2
226,"('essays',)",2
227,"('breadth',)",1
228,"('fact',)",1
229,"('vented',)",1
230,"('characters',)",1
231,"('drew',)",2
232,"('material',)",1
233,"('aiid',)",5
234,"('bis',)",1
235,"('plots',)",3
236,"('sources',)",1
237,"('absolutely',)",1
238,"('iio',)",1
239,"('invention',)",1
240,"('pect',)",1
241,"('whyite',)",1
242,"('page',)",2
243,"('says',)",3
244,"('becn',)",1
245,"('made',)",3
246,"('period',)",2
247,"('resembles',)",1
248,"('other',)",3
249,"('poet',)",1
250,"('playwright',)",2
251,"('caii',)",1
252,"('separated',)",1
253,"('from',)",3
254,"('workers',)",1
255,"('vith',)",1
256,"('facts',)",1
257,"('probabilities',)",1
258,"('time',)",2
259,"('history',)",1
260,"('arts',)",1
261,"('poetry',)",2
262,"('ineluded',)",1
263,"('true',)",1
264,"('mind',)",3
265,"('sense',)",1
266,"('terms',)",1
267,"('original',)",1
268,"('creative',)",2
269,"('minds',)",1
270,"('than',)",2
271,"('others',)",1
272,"('narrower',)",1
273,"('inferior',)",1
274,"('power',)",1
275,"('imitative',)",1
276,"('their',)",3
277,"('repeats',)",1
278,"('over',)",2
279,"('aid',)",3
280,"('again',)",1
281,"('various',)",2
282,"('forms',)",1
283,"('invented',)",2
284,"('what',)",1
285,"('did',)",7
286,"('not',)",13
287,"('well',)",1
288,"('better',)",1
289,"('proof',)",1
290,"('illustration',)",1
291,"('lhis',)",1
292,"('fools',)",1
293,"('invent',)",1
294,"('per',)",1
295,"('stage',)",2
296,"('indeed',)",1
297,"('added',)",1
298,"('story',)",2
299,"('created',)",1
300,"('save',)",1
301,"('nien',)",1
302,"('ariels',)",1
303,"('calabanis',)",1
304,"('ile',)",2
305,"('then',)",1
306,"('proceeds',)",1
307,"('point',)",1
308,"('out',)",5
309,"('how',)",1
310,"('transformed',)",1
311,"('fool',)",1
312,"('gave',)",2
313,"('himi',)",1
314,"('each',)",1
315,"('play',)",1
316,"('wvith',)",1
317,"('negative',)",1
318,"('vhiite',)",1
319,"('positive',)",1
320,"('stated',)",1
321,"('equal',)",1
322,"('character',)",3
323,"('motive',)",1
324,"('supreme',)",1
325,"('able',)",1
326,"('io',)",1
327,"('master',)",1
328,"('iraniatic',)",1
329,"('accepts',)",1
330,"('use',)",1
331,"('which',)",3
332,"('thoroughly',)",1
333,"('storv',)",1
334,"('lear',)",2
335,"('example',)",1
336,"('make',)",2
337,"('tragedy',)",1
338,"('stories',)",1
339,"('glouices',)",1
340,"('ter',)",1
341,"('wrought',)",1
342,"('into',)",1
343,"('subtle',)",1
344,"('fire',)",1
345,"('anothier',)",1
346,"('philosophy',)",1
347,"('dranias',)",1
348,"('purpose',)",2
349,"('d',)",1
350,"('shakespieare',)",1
351,"('audiences',)",1
352,"('globe',)",1
353,"('lieatre',)",1
354,"('money',)",1
355,"('ilis',)",1
356,"('hearers',)",1
357,"('profitably',)",1
358,"('disappeared',)",1
359,"('lis',)",1
360,"('char',)",1
361,"('actors',)",2
362,"('creations',)",1
363,"('press',)",1
364,"('own',)",2
365,"('personality',)",2
366,"('theni',)",2
367,"('being',)",1
368,"('independent',)",1
369,"('faculty',)",2
370,"('onie',)",1
371,"('faults',)",1
372,"('attach',)",1
373,"('part',)",1
374,"('times',)",1
375,"('tones',)",1
376,"('lown',)",1
377,"('relieves',)",1
378,"('far',)",2
379,"('possible',)",1
380,"('fidelity',)",1
381,"('hcas',)",1
382,"('accepted',)",1
383,"('writers',)",3
384,"('amid',)",1
385,"('inito',)",1
386,"('flesh',)",1
387,"('blood',)",1
388,"('reality',)",1
389,"('wvhite',)",1
390,"('severe',)",1
391,"('remarks',)",1
392,"('acting',)",1
393,"('lago',)",4
394,"('arc',)",1
395,"('distinguished',)",1
396,"('trage',)",1
397,"('dians',)",1
398,"('average',)",1
399,"('amost',)",1
400,"('lagos',)",1
401,"('opportunity',)",1
402,"('observing',)",1
403,"('woould',)",1
404,"('deceived',)",1
405,"('school',)",1
406,"('girl',)",1
407,"('des',)",2
408,"('demona',)",1
409,"('been',)",2
410,"('beyond',)",1
411,"('scheming',)",1
412,"('othello',)",1
413,"('back',)",1
414,"('blow',)",1
415,"('mailed',)",1
416,"('hand',)",1
417,"('worst',)",1
418,"('salvini',)",1
419,"('sort',)",1
420,"('noisome',)",1
421,"('venom',)",1
422,"('ous',)",1
423,"('reptile',)",1
424,"('insect',)",1
425,"('dignity',)",1
426,"('vertebrate',)",1
427,"('animal',)",1
428,"('edwin',)",1
429,"('booth',)",2
430,"('com',)",1
431,"('mended',)",1
432,"('fine',)",1
433,"('delicate',)",1
434,"('complex',)",1
435,"('edwini',)",1
436,"('iago',)",1
437,"('profound',)",1
438,"('contempt',)",1
439,"('theory',)",4
440,"('bacon',)",8
441,"('rote',)",1
442,"('begins',)",1
443,"('essay',)",2
444,"('iheaven',)",1
445,"('were',)",1
446,"('evidence',)",1
447,"('famous',)",1
448,"('folio',)",1
449,"('awld',)",1
450,"('reason',)",1
451,"('smallest',)",1
452,"('personal',)",1
453,"('fame',)",2
454,"('either',)",1
455,"('hie',)",1
456,"('examines',)",1
457,"('mlrs',)",1
458,"('iienrv',)",1
459,"('pott',)",1
460,"('promuts',)",1
461,"('poor',)",1
462,"('lady',)",1
463,"('ridiculous',)",1
464,"('baconiani',)",1
465,"('now',)",1
466,"('nearly',)",1
467,"('thirty',)",1
468,"('years',)",1
469,"('old',)",1
470,"('having',)",2
471,"('aliss',)",1
472,"('baconi',)",1
473,"('who',)",2
474,"('naturally',)",1
475,"('died',)",1
476,"('asylum',)",1
477,"('just',)",1
478,"('broad',)",1
479,"('revue',)",1
480,"('deux',)",1
481,"('mlondles',)",1
482,"('course',)",1
483,"('re',)",2
484,"('jected',)",1
485,"('sive',)",1
486,"('elizabethani',)",1
487,"('francis',)",1
488,"('balcon',)",1
489,"('marks',)",1
490,"('up',)",1
491,"('corrective',)",1
492,"('delusion',)",1
493,"('logician',)",1
494,"('logic',)",1
495,"('exact',)",2
496,"('risen',)",1
497,"('consistent',)",1
498,"('ba',)",1
499,"('con',)",2
500,"('smiling',)",1
501,"('lips',)",1
502,"('mouthpiece',)",1
503,"('kind',)",1
504,"('tion',)",1
505,"('morals',)",1
506,"('ever',)",2
507,"('moral',)",1
508,"('izing',)",1
509,"('individual',)",1
510,"('men',)",1
511,"('particular',)",1
512,"('rela',)",1
513,"('tions',)",1
514,"('wholly',)",1
515,"('utterly',)",1
516,"('without',)",1
517,"('poetic',)",1
518,"('degree',)",1
519,"('rising',)",1
520,"('effort',)",1
521,"('suppose',)",1
522,"('mien',)",1
523,"('also',)",1
524,"('assume',)",1
525,"('two',)",1
526,"('miracles',)",1
527,"('sake',)",1
528,"('proving',)",1
529,"('absurd',)",1
530,"('ity',)",1
531,"('vorth',)",1
532,"('five',)",1
533,"('minutes',)",1
534,"('serious',)",1
535,"('sideration',)",1
536,"('creature',)",1
537,"('david',)",1
538,"('wheeler',)",1
