,ngram,count
0,"('bartlett',)",2
1,"('s',)",2
2,"('life',)",1
3,"('of',)",16
4,"('rimmer',)",6
5,"('dr',)",1
6,"('is',)",3
7,"('one',)",3
8,"('the',)",14
9,"('many',)",3
10,"('figures',)",1
11,"('in',)",9
12,"('amer',)",1
13,"('ican',)",1
14,"('art',)",3
15,"('that',)",2
16,"('fill',)",1
17,"('with',)",3
18,"('uneasiness',)",1
19,"('artistic',)",2
20,"('genius',)",1
21,"('this',)",2
22,"('country',)",1
23,"('until',)",1
24,"('recently',)",1
25,"('has',)",2
26,"('had',)",4
27,"('no',)",1
28,"('place',)",1
29,"('other',)",1
30,"('circumstances',)",1
31,"('might',)",1
32,"('have',)",1
33,"('achieved',)",1
34,"('more',)",2
35,"('satisfactory',)",1
36,"('results',)",1
37,"('here',)",1
38,"('was',)",8
39,"('against',)",2
40,"('him',)",5
41,"('though',)",2
42,"('perhaps',)",2
43,"('nothing',)",2
44,"('so',)",1
45,"('much',)",2
46,"('as',)",7
47,"('a',)",16
48,"('disquiet',)",1
49,"('and',)",21
50,"('pride',)",1
51,"('inherited',)",1
52,"('from',)",6
53,"('father',)",1
54,"('who',)",4
55,"('be',)",4
56,"('lieved',)",1
57,"('himself',)",1
58,"('prince',)",1
59,"('by',)",5
60,"('birth',)",1
61,"('his',)",9
62,"('own',)",2
63,"('inherent',)",1
64,"('th',)",1
65,"('lufe',)",1
66,"('william',)",1
67,"('sculptor',)",2
68,"('painter',)",1
69,"('physician',)",1
70,"('truman',)",1
71,"('h',)",1
72,"('ifluotrated',)",1
73,"('hotiotrpercproductionl',)",1
74,"('boston',)",1
75,"('james',)",1
76,"('r',)",1
77,"('osgood',)",1
78,"('co',)",1
79,"('x',)",1
80,"('lack',)",1
81,"('patience',)",1
82,"('humble',)",1
83,"('he',)",8
84,"('strong',)",1
85,"('temperament',)",1
86,"('but',)",4
87,"('thorough',)",1
88,"('except',)",1
89,"('anatomy',)",2
90,"('an',)",6
91,"('theoretic',)",1
92,"('teacher',)",2
93,"('always',)",2
94,"('disapproved',)",1
95,"('dissection',)",1
96,"('for',)",3
97,"('students',)",1
98,"('explaining',)",1
99,"('most',)",2
100,"('difficult',)",1
101,"('parts',)",1
102,"('interior',)",1
103,"('would',)",3
104,"('use',)",1
105,"('black',)",1
106,"('board',)",2
107,"('only',)",2
108,"('made',)",1
109,"('strongest',)",1
110,"('impression',)",1
111,"('not',)",2
112,"('studied',)",1
113,"('designs',)",1
114,"('pictures',)",1
115,"('modelings',)",1
116,"('at',)",2
117,"('blackboard',)",2
118,"('facile',)",1
119,"('pencil',)",1
120,"('improvise',)",1
121,"('on',)",3
122,"('musician',)",1
123,"('does',)",1
124,"('key',)",1
125,"('producing',)",1
126,"('varied',)",1
127,"('beautiful',)",1
128,"('har',)",1
129,"('monies',)",1
130,"('line',)",2
131,"('eminently',)",1
132,"('draughtsman',)",1
133,"('caring',)",1
134,"('little',)",2
135,"('illusion',)",1
136,"('which',)",1
137,"('picture',)",1
138,"('maker',)",1
139,"('apt',)",2
140,"('to',)",7
141,"('cherish',)",1
142,"('totally',)",1
143,"('ignorant',)",1
144,"('color',)",1
145,"('took',)",1
146,"('very',)",1
147,"('uncertain',)",1
148,"('interest',)",1
149,"('form',)",1
150,"('such',)",2
151,"('rapid',)",1
152,"('means',)",1
153,"('expressing',)",1
154,"('situation',)",1
155,"('idea',)",2
156,"('passion',)",1
157,"('command',)",1
158,"('strongly',)",1
159,"('moved',)",1
160,"('rembrandt',)",1
161,"('michael',)",1
162,"('angelo',)",1
163,"('enormous',)",1
164,"('egotism',)",1
165,"('prevented',)",1
166,"('understanding',)",1
167,"('learning',)",2
168,"('imme',)",1
169,"('diate',)",1
170,"('contemporaries',)",1
171,"('kept',)",1
172,"('acknowledg',)",1
173,"('ing',)",1
174,"('indebtedness',)",1
175,"('older',)",1
176,"('artist',)",1
177,"('like',)",2
178,"('auston',)",1
179,"('whom',)",1
180,"('doubtless',)",1
181,"('affected',)",1
182,"('or',)",1
183,"('modern',)",1
184,"('master',)",1
185,"('blake',)",1
186,"('also',)",1
187,"('evidently',)",1
188,"('decided',)",1
189,"('effect',)",1
190,"('upon',)",1
191,"('thought',)",1
192,"('will',)",1
193,"('long',)",1
194,"('remembered',)",1
195,"('gratitude',)",1
196,"('were',)",3
197,"('helped',)",1
198,"('stim',)",1
199,"('ulatingmanner',)",1
200,"('ready',)",1
201,"('encouragement',)",1
202,"('case',)",1
203,"('day',)",1
204,"('hisbest',)",1
205,"('pupils',)",1
206,"('women',)",1
207,"('sake',)",1
208,"('wiling',)",1
209,"('bullied',)",1
210,"('blindly',)",1
211,"('lead',)",1
212,"('mr',)",1
213,"('bartletes',)",1
214,"('book',)",1
215,"('contains',)",1
216,"('curious',)",1
217,"('als',)",1
218,"('notes',)",1
219,"('class',)",1
220,"('acquaintances',)",1
221,"('crit',)",1
222,"('ics',)",1
223,"('author',)",1
224,"('throughout',)",1
225,"('done',)",1
226,"('than',)",1
227,"('justice',)",1
228,"('extraordinary',)",1
229,"('man',)",2
230,"('irascible',)",1
231,"('far',)",1
232,"('frank',)",1
233,"('disposition',)",1
234,"('untrained',)",1
235,"('unfruitful',)",1
236,"('power',)",1
237,"('whose',)",1
238,"('career',)",1
239,"('vas',)",1
240,"('pathetically',)",1
241,"('painful',)",1
242,"('unsatisfactory',)",1
243,"('reproductions',)",1
244,"('scattered',)",1
245,"('through',)",1
246,"('volume',)",1
247,"('wil',)",1
248,"('give',)",1
249,"('largeness',)",1
250,"('vigor',)",1
251,"('some',)",1
252,"('conceptions',)",1
