,ngram,count
0,"('iv',)",1
1,"('louis',)",2
2,"('evan',)",2
3,"('s',)",3
4,"('the',)",61
5,"('true',)",2
6,"('adventure',)",2
7,"('of',)",35
8,"('a',)",28
9,"('play',)",19
10,"('it',)",20
11,"('is',)",21
12,"('no',)",4
13,"('easy',)",2
14,"('task',)",1
15,"('to',)",31
16,"('tell',)",2
17,"('very',)",3
18,"('inti',)",1
19,"('mate',)",1
20,"('inside',)",2
21,"('story',)",6
22,"('yet',)",2
23,"('not',)",5
24,"('violate',)",1
25,"('taste',)",1
26,"('and',)",14
27,"('sense',)",1
28,"('proportion',)",1
29,"('mr',)",7
30,"('ship',)",2
31,"('man',)",3
32,"('in',)",19
33,"('recounting',)",2
34,"('adventures',)",2
35,"('his',)",6
36,"('d',)",2
37,"('arey',)",1
38,"('guards',)",1
39,"('has',)",4
40,"('only',)",2
41,"('avoided',)",1
42,"('such',)",1
43,"('pitfalls',)",1
44,"('but',)",4
45,"('with',)",5
46,"('usual',)",3
47,"('grace',)",1
48,"('expression',)",1
49,"('he',)",6
50,"('brought',)",1
51,"('forth',)",1
52,"('little',)",1
53,"('which',)",7
54,"('will',)",1
55,"('be',)",6
56,"('infinite',)",1
57,"('as',)",10
58,"('sistance',)",1
59,"('all',)",6
60,"('playwrights',)",2
61,"('who',)",6
62,"('are',)",6
63,"('or',)",2
64,"('would',)",3
65,"('indeed',)",1
66,"('spirit',)",1
67,"('helpfulness',)",1
68,"('others',)",1
69,"('that',)",10
70,"('ap',)",2
71,"('proached',)",1
72,"('idea',)",2
73,"('certainly',)",1
74,"('aspi',)",1
75,"('rant',)",2
76,"('for',)",5
77,"('fame',)",1
78,"('on',)",5
79,"('broadway',)",1
80,"('could',)",1
81,"('fail',)",1
82,"('see',)",4
83,"('phase',)",1
84,"('theatrical',)",2
85,"('conditions',)",2
86,"('illumined',)",1
87,"('by',)",6
88,"('this',)",6
89,"('detailed',)",2
90,"('account',)",1
91,"('facts',)",1
92,"('reveal',)",1
93,"('uncertainties',)",1
94,"('producing',)",1
95,"('well',)",3
96,"('warn',)",1
97,"('reader',)",3
98,"('at',)",6
99,"('start',)",1
100,"('shipman',)",2
101,"('tells',)",1
102,"('way',)",1
103,"('excep',)",1
104,"('tional',)",1
105,"('fact',)",2
106,"('if',)",2
107,"('there',)",2
108,"('any',)",4
109,"('criticism',)",1
110,"('one',)",9
111,"('might',)",2
112,"('say',)",1
113,"('whole',)",1
114,"('had',)",3
115,"('time',)",2
116,"('least',)",2
117,"('achieved',)",1
118,"('production',)",1
119,"('two',)",1
120,"('distinguished',)",1
121,"('artists',)",1
122,"('while',)",3
123,"('suffered',)",1
124,"('somewhat',)",1
125,"('from',)",6
126,"('de',)",1
127,"('new',)",3
128,"('york',)",3
129,"('mitchell',)",1
130,"('kennerley',)",1
131,"('ceptions',)",1
132,"('handed',)",1
133,"('main',)",1
134,"('need',)",1
135,"('throughout',)",1
136,"('was',)",6
137,"('patience',)",1
138,"('set',)",1
139,"('out',)",1
140,"('simple',)",1
141,"('further',)",3
142,"('suggestion',)",1
143,"('what',)",1
144,"('lie',)",1
145,"('have',)",5
146,"('done',)",2
147,"('ous',)",1
148,"('remains',)",1
149,"('written',)",3
150,"('chaotic',)",1
151,"('theatre',)",1
152,"('they',)",2
153,"('affect',)",1
154,"('playwright',)",3
155,"('book',)",3
156,"('nearest',)",1
157,"('approach',)",1
158,"('we',)",2
159,"('limited',)",1
160,"('exceptional',)",1
161,"('interest',)",1
162,"('sly',)",1
163,"('humour',)",1
164,"('skilful',)",1
165,"('thrusts',)",1
166,"('several',)",2
167,"('known',)",2
168,"('actors',)",1
169,"('agents',)",1
170,"('large',)",1
171,"('number',)",2
172,"('personal',)",3
173,"('let',)",1
174,"('ters',)",1
175,"('prominent',)",1
176,"('managers',)",1
177,"('give',)",3
178,"('entire',)",1
179,"('touch',)",2
180,"('so',)",1
181,"('necessary',)",1
182,"('sort',)",1
183,"('after',)",2
184,"('how',)",2
185,"('came',)",1
186,"('him',)",3
187,"('write',)",1
188,"('upon',)",1
189,"('colonial',)",1
190,"('theme',)",1
191,"('author',)",5
192,"('proceeds',)",1
193,"('list',)",1
194,"('qf',)",1
195,"('people',)",1
196,"('read',)",2
197,"('their',)",1
198,"('various',)",1
199,"('reactions',)",1
200,"('reason',)",1
201,"('plays',)",3
202,"('turned',)",1
203,"('down',)",1
204,"('here',)",2
205,"('partly',)",1
206,"('revealed',)",1
207,"('why',)",1
208,"('par',)",1
209,"('ticular',)",1
210,"('rejected',)",1
211,"('amusing',)",3
212,"('contained',)",1
213,"('letter',)",2
214,"('e',)",1
215,"('h',)",1
216,"('sothern',)",1
217,"('wanted',)",1
218,"('big',)",1
219,"('part',)",1
220,"('me',)",2
221,"('another',)",1
222,"('actress',)",1
223,"('writes',)",1
224,"('leading',)",2
225,"('feminine',)",1
226,"('rle',)",1
227,"('pamela',)",1
228,"('strong',)",1
229,"('enough',)",1
230,"('i',)",1
231,"('her',)",1
232,"('charm',)",2
233,"('these',)",2
234,"('phrases',)",1
235,"('budding',)",1
236,"('wright',)",1
237,"('may',)",2
238,"('deduce',)",1
239,"('first',)",2
240,"('rules',)",1
241,"('selling',)",1
242,"('star',)",1
243,"('role',)",1
244,"('should',)",2
245,"('fat',)",1
246,"('even',)",1
247,"('when',)",3
248,"('eventually',)",2
249,"('pro',)",1
250,"('duced',)",1
251,"('henry',)",1
252,"('miller',)",2
253,"('letters',)",1
254,"('re',)",1
255,"('veal',)",1
256,"('many',)",1
257,"('lines',)",1
258,"('were',)",1
259,"('taken',)",1
260,"('character',)",1
261,"('given',)",1
262,"('perfectly',)",1
263,"('natural',)",1
264,"('procedure',)",1
265,"('merely',)",1
266,"('interesting',)",1
267,"('call',)",1
268,"('attention',)",1
269,"('lesson',)",1
270,"('practical',)",1
271,"('writing',)",1
272,"('revealing',)",1
273,"('run',)",1
274,"('short',)",1
275,"('begging',)",1
276,"('build',)",1
277,"('up',)",1
278,"('actor',)",1
279,"('working',)",1
280,"('complete',)",1
281,"('harmony',)",1
282,"('changes',)",2
283,"('itself',)",1
284,"('phe',)",1
285,"('nomenon',)",1
286,"('views',)",1
287,"('mystery',)",1
288,"('booking',)",1
289,"('department',)",1
290,"('also',)",1
291,"('shown',)",1
292,"('often',)",1
293,"('wondered',)",1
294,"('reach',)",1
295,"('city',)",1
296,"('an',)",3
297,"('anecdote',)",1
298,"('told',)",1
299,"('frohman',)",2
300,"('seeing',)",1
301,"('enthusiastic',)",1
302,"('tice',)",1
303,"('evening',)",1
304,"('sun',)",1
305,"('thought',)",2
306,"('acton',)",1
307,"('davies',)",1
308,"('strength',)",1
309,"('consented',)",1
310,"('booked',)",1
311,"('theatres',)",1
312,"('before',)",1
313,"('opened',)",1
314,"('rehearsed',)",1
315,"('under',)",1
316,"('froh',)",1
317,"('eye',)",1
318,"('resulting',)",1
319,"('more',)",1
320,"('less',)",1
321,"('important',)",1
322,"('deduces',)",1
323,"('truth',)",1
324,"('bouci',)",1
325,"('remark',)",1
326,"('writ',)",1
327,"('ten',)",1
328,"('rewritten',)",1
329,"('unnecessary',)",1
330,"('detail',)",1
331,"('rlrcy',)",1
332,"('although',)",1
333,"('london',)",2
334,"('complications',)",1
335,"('three',)",2
336,"('stars',)",1
337,"('seeking',)",1
338,"('must',)",1
339,"('been',)",1
340,"('tragic',)",1
341,"('nervously',)",1
342,"('anxious',)",1
343,"('years',)",1
344,"('saw',)",1
345,"('light',)",1
346,"('stock',)",1
347,"('cities',)",1
348,"('country',)",1
349,"('gave',)",1
350,"('hearing',)",1
351,"('over',)",1
352,"('recounts',)",1
353,"('offer',)",1
354,"('motion',)",1
355,"('pic',)",1
356,"('shows',)",1
357,"('peculiar',)",1
358,"('life',)",1
359,"('once',)",1
360,"('gets',)",1
361,"('started',)",1
362,"('anything',)",1
363,"('like',)",1
364,"('success',)",1
365,"('end',)",1
366,"('volume',)",1
367,"('gives',)",1
368,"('contracts',)",1
369,"('serve',)",1
370,"('models',)",1
371,"('proaching',)",1
372,"('sale',)",1
373,"('phraseology',)",1
374,"('instructive',)",1
375,"('samples',)",1
376,"('guide',)",1
377,"('igno',)",1
378,"('mazes',)",1
379,"('business',)",1
380,"('therefore',)",1
381,"('valuable',)",1
382,"('because',)",1
383,"('its',)",1
384,"('note',)",1
385,"('uninteresting',)",1
386,"('ing',)",1
387,"('layman',)",1
388,"('know',)",1
389,"('things',)",1
390,"('other',)",1
391,"('side',)",1
392,"('nium',)",1
393,"('john',)",1
394,"('blakeslee',)",1
