,ngram,count
0,"('a',)",27
1,"('new',)",2
2,"('french',)",2
3,"('book',)",4
4,"('l',)",3
5,"('illusion',)",1
6,"('heroique',)",2
7,"('de',)",13
8,"('tito',)",8
9,"('bass',)",1
10,"('by',)",6
11,"('henri',)",2
12,"('rp',)",1
13,"('mercure',)",1
14,"('france',)",2
15,"('fr',)",1
16,"('in',)",14
17,"('the',)",44
18,"('preface',)",1
19,"('to',)",24
20,"('his',)",14
21,"('latest',)",1
22,"('novel',)",1
23,"('illu',)",1
24,"('sion',)",1
25,"('bassi',)",6
26,"('m',)",6
27,"('r',)",1
28,"('makes',)",1
29,"('kind',)",4
30,"('of',)",48
31,"('apology',)",2
32,"('for',)",10
33,"('publish',)",1
34,"('ing',)",3
35,"('an',)",6
36,"('unwarlike',)",1
37,"('during',)",2
38,"('war',)",3
39,"('and',)",19
40,"('is',)",32
41,"('careful',)",1
42,"('explain',)",1
43,"('that',)",8
44,"('it',)",9
45,"('was',)",4
46,"('written',)",4
47,"('spring',)",1
48,"('one',)",10
49,"('wonders',)",1
50,"('why',)",1
51,"('should',)",3
52,"('be',)",5
53,"('necessary',)",1
54,"('so',)",5
55,"('distinguished',)",1
56,"('member',)",1
57,"('cultivated',)",1
58,"('race',)",1
59,"('make',)",1
60,"('such',)",2
61,"('had',)",2
62,"('our',)",4
63,"('ancestors',)",1
64,"('refrained',)",1
65,"('from',)",3
66,"('creating',)",2
67,"('works',)",1
68,"('beauty',)",2
69,"('while',)",1
70,"('their',)",1
71,"('nations',)",1
72,"('were',)",1
73,"('at',)",5
74,"('we',)",6
75,"('now',)",3
76,"('have',)",3
77,"('no',)",3
78,"('art',)",7
79,"('all',)",6
80,"('business',)",2
81,"('artist',)",1
82,"('defend',)",1
83,"('national',)",2
84,"('culture',)",2
85,"('if',)",3
86,"('indeed',)",1
87,"('not',)",7
88,"('cosmopolitan',)",1
89,"('as',)",8
90,"('well',)",2
91,"('fighting',)",1
92,"('or',)",1
93,"('labor',)",1
94,"('english',)",1
95,"('poet',)",1
96,"('frederic',)",1
97,"('manning',)",1
98,"('publishing',)",1
99,"('singularly',)",1
100,"('beau',)",1
101,"('tiful',)",1
102,"('poems',)",1
103,"('most',)",2
104,"('part',)",2
105,"('on',)",2
106,"('battlefields',)",1
107,"('there',)",4
108,"('are',)",5
109,"('many',)",1
110,"('other',)",1
111,"('artists',)",1
112,"('belligerent',)",1
113,"('countries',)",1
114,"('who',)",8
115,"('carried',)",1
116,"('equally',)",1
117,"('desperate',)",2
118,"('circum',)",1
119,"('stances',)",1
120,"('since',)",2
121,"('this',)",5
122,"('what',)",5
123,"('reason',)",1
124,"('denying',)",1
125,"('use',)",3
126,"('fine',)",2
127,"('talent',)",1
128,"('even',)",3
129,"('mere',)",1
130,"('civilian',)",1
131,"('simply',)",2
132,"('because',)",1
133,"('another',)",2
134,"('s',)",7
135,"('throats',)",1
136,"('cul',)",1
137,"('ture',)",2
138,"('danger',)",1
139,"('prussian',)",1
140,"('arms',)",1
141,"('but',)",5
142,"('rather',)",1
143,"('over',)",2
144,"('patriotic',)",1
145,"('zeal',)",1
146,"('bellicose',)",1
147,"('puritanism',)",1
148,"('which',)",3
149,"('forbids',)",1
150,"('us',)",4
151,"('whistle',)",1
152,"('work',)",2
153,"('regnier',)",4
154,"('instead',)",1
155,"('before',)",1
156,"('would',)",1
157,"('felt',)",1
158,"('real',)",1
159,"('vin',)",1
160,"('dication',)",1
161,"('deathless',)",1
162,"('spirit',)",1
163,"('freneh',)",1
164,"('cil',)",1
165,"('perhaps',)",4
166,"('though',)",1
167,"('only',)",3
168,"('young',)",1
169,"('can',)",4
170,"('dream',)",2
171,"('under',)",1
172,"('guns',)",1
173,"('imusion',)",1
174,"('hero',)",1
175,"('que',)",1
176,"('bassil',)",1
177,"('those',)",2
178,"('purely',)",1
179,"('imaginative',)",2
180,"('tales',)",2
181,"('loves',)",1
182,"('teu',)",1
183,"('himself',)",1
184,"('eighteenth',)",1
185,"('century',)",1
186,"('italy',)",1
187,"('la',)",1
188,"('double',)",1
189,"('ma',)",1
190,"('tresse',)",1
191,"('supreme',)",1
192,"('achievement',)",1
193,"('elegant',)",1
194,"('pendant',)",1
195,"('after',)",1
196,"('thought',)",2
197,"('night',)",1
198,"('vicenza',)",2
199,"('city',)",1
200,"('palaces',)",1
201,"('dark',)",1
202,"('streets',)",1
203,"('firefly',)",1
204,"('haunted',)",1
205,"('you',)",3
206,"('will',)",2
207,"('find',)",2
208,"('people',)",3
209,"('enjoy',)",1
210,"('say',)",1
211,"('yes',)",1
212,"('i',)",3
213,"('see',)",2
214,"('beautiful',)",2
215,"('exquisitely',)",1
216,"('clearly',)",1
217,"('rendered',)",1
218,"('its',)",4
219,"('shrug',)",1
220,"('reply',)",1
221,"('same',)",2
222,"('significance',)",2
223,"('flower',)",1
224,"('silk',)",1
225,"('gown',)",1
226,"('chinese',)",1
227,"('painting',)",1
228,"('any',)",2
229,"('thing',)",2
230,"('merely',)",1
231,"('yet',)",3
232,"('moral',)",1
233,"('these',)",1
234,"('some',)",2
235,"('relates',)",1
236,"('them',)",1
237,"('drama',)",1
238,"('mr',)",3
239,"('yeats',)",3
240,"('mean',)",1
241,"('they',)",1
242,"('ex',)",1
243,"('press',)",1
244,"('impotence',)",2
245,"('human',)",2
246,"('soul',)",3
247,"('reach',)",1
248,"('desire',)",2
249,"('thwarting',)",1
250,"('im',)",1
251,"('possible',)",1
252,"('ideal',)",1
253,"('rigid',)",1
254,"('bar',)",1
255,"('destiny',)",1
256,"('lovers',)",2
257,"('dramas',)",1
258,"('unhappy',)",1
259,"('when',)",2
260,"('happy',)",1
261,"('dreamers',)",1
262,"('achieve',)",2
263,"('nothing',)",2
264,"('warriors',)",1
265,"('fail',)",1
266,"('feeling',)",1
267,"('strive',)",1
268,"('toward',)",1
269,"('noble',)",1
270,"('end',)",1
271,"('expresses',)",1
272,"('tragic',)",3
273,"('serious',)",1
274,"('verse',)",1
275,"('also',)",2
276,"('expressed',)",1
277,"('reguier',)",1
278,"('serene',)",1
279,"('ironic',)",1
280,"('prose',)",2
281,"('poor',)",1
282,"('italian',)",1
283,"('dreamed',)",2
284,"('performing',)",1
285,"('heroic',)",1
286,"('deeds',)",1
287,"('he',)",7
288,"('actor',)",1
289,"('reality',)",1
290,"('moderately',)",1
291,"('good',)",1
292,"('comedian',)",3
293,"('tragedy',)",3
294,"('life',)",5
295,"('wiu',)",1
296,"('him',)",1
297,"('anything',)",1
298,"('wife',)",3
299,"('aspirations',)",1
300,"('bitter',)",1
301,"('suffer',)",1
302,"('ings',)",1
303,"('always',)",2
304,"('trying',)",1
305,"('live',)",2
306,"('grand',)",1
307,"('style',)",1
308,"('being',)",1
309,"('brought',)",1
310,"('down',)",1
311,"('homely',)",1
312,"('last',)",2
313,"('ception',)",1
314,"('ironically',)",2
315,"('cruel',)",1
316,"('has',)",2
317,"('been',)",1
318,"('con',)",1
319,"('demned',)",1
320,"('death',)",1
321,"('having',)",1
322,"('murdered',)",1
323,"('goes',)",1
324,"('scaffold',)",1
325,"('gladly',)",1
326,"('triumphantly',)",1
327,"('figure',)",1
328,"('finds',)",1
329,"('cloaked',)",1
330,"('hangman',)",1
331,"('roars',)",1
332,"('with',)",2
333,"('laughter',)",1
334,"('unlike',)",1
335,"('nor',)",1
336,"('either',)",1
337,"('wve',)",1
338,"('michelangelos',)",1
339,"('until',)",2
340,"('begin',)",1
341,"('do',)",2
342,"('drawings',)",1
343,"('magazines',)",1
344,"('al',)",1
345,"('shelleys',)",1
346,"('out',)",1
347,"('difficulty',)",1
348,"('writing',)",1
349,"('humblest',)",1
350,"('article',)",1
351,"('van',)",1
352,"('ity',)",1
353,"('mankind',)",2
354,"('very',)",2
355,"('long',)",1
356,"('ago',)",1
357,"('claimed',)",1
358,"('microcosm',)",1
359,"('presumes',)",1
360,"('judge',)",1
361,"('weight',)",1
362,"('planets',)",1
363,"('first',)",1
364,"('cousins',)",1
365,"('ignorant',)",1
366,"('ask',)",2
367,"('like',)",1
368,"('pilate',)",1
369,"('wait',)",1
370,"('answer',)",1
371,"('none',)",1
372,"('give',)",1
373,"('means',)",2
374,"('multiplying',)",1
375,"('per',)",1
376,"('sonality',)",1
377,"('refining',)",1
378,"('upon',)",1
379,"('instincts',)",1
380,"('pas',)",1
381,"('sions',)",1
382,"('deepening',)",1
383,"('experience',)",2
384,"('giving',)",1
385,"('simulacrum',)",1
386,"('immortality',)",1
387,"('discovering',)",1
388,"('universe',)",1
389,"('may',)",1
390,"('sound',)",1
391,"('pompous',)",1
392,"('cer',)",1
393,"('tain',)",1
394,"('situations',)",1
395,"('feels',)",1
396,"('necessity',)",1
397,"('fining',)",1
398,"('course',)",1
399,"('noth',)",1
400,"('me',)",1
401,"('forces',)",1
402,"('passions',)",1
403,"('torments',)",1
404,"('imagined',)",1
405,"('henceforth',)",1
406,"('own',)",1
407,"('multiply',)",1
408,"('personality',)",2
409,"('michelangelo',)",1
410,"('studying',)",1
411,"('dante',)",1
412,"('just',)",1
413,"('mechanic',)",1
414,"('knave',)",1
415,"('gaping',)",1
416,"('commonplace',)",1
417,"('murders',)",1
418,"('rapes',)",1
419,"('sunday',)",1
420,"('newspaper',)",1
421,"('journalism',)",1
422,"('gives',)",1
423,"('coarse',)",1
424,"('trivial',)",1
425,"('vulgar',)",1
426,"('multiplica',)",1
427,"('tion',)",1
428,"('result',)",1
429,"('beautifully',)",1
430,"('nobly',)",1
431,"('refinement',)",1
432,"('aristotle',)",1
433,"('meant',)",1
434,"('said',)",1
435,"('purging',)",1
436,"('terror',)",1
437,"('pity',)",1
438,"('richard',)",1
439,"('aldington',)",1
