,record_id,reviewed_author_name
0,124900101,Lucien Carr
1,89760874,W. S. Jeans
2,89659668,Lord Byron
3,89659668, W. A. Lewis Bettany
4,124736362,Compton Mackenzie
5,125250815,George Henry Fox
6,90548600,William Michael Rossetti
7,137131257,Robert Louis Stevenson
8,124736216,Mr. Benson
9,137077872,Josiah Royce
10,90287585,Albert Dauzat
11,125246033,Lennox Browne
12,136129795,William Didwiddie
13,90359967,Edward S. Morse
14,90105768,Stopford A. Brooke
15,136144380,Robert Tressall
16,90559137,Ramsey Benson
17,89650108,Georges Perrot
18,124460722,Gillie McCabe
19,89675866,Madame Mary DuClaux
20,124151303,William B. Forbush
21,124189638,Percy Gardner
22,125728562,Burdett A. Rich
23,125728562, Henry P. Farnham
24,136927995,Katharine Allen
25,90582707,Leo Wiener
26,136531676,John C. Da Cost Jr.
27,124742287,Vicente Blasco Ibanez
28,90710064,Mary Austin
29,125248726,Arthur Hartmann
30,125284689,Mrs. John King Van Rensselaer
31,124882878,William Edward Hartpole-Lecky
32,90444175,Booker T. Washington
33,124752239,L. Dougall
34,136707079,Joseph Henry Allen
35,124744486,Arthur Symons
36,124451296,H. Somers Somerset
37,124914654,Hector Berlioz
38,124914654, Daniel Bernard
39,124914654, H.M. Dunstan
40,127446458,"Lord Charles Beresford, M.P."
41,90390994,Gabriela Cunninghame Graham
42,124688361,nan
43,89676052,Enrico Ferri
44,90272171,W. S. Maugham
45,90099356,A. J. Munby
46,136758573,Edward G Browne
47,89664544,E. Belfast Bax
48,124909790,Frederick S. Church
49,124909790, Robert F. Blum
50,124909790, James S. King
51,124909790, Stephen J. Parrish
52,124909790, Herman N. Hyneman
53,124909790, Frederic
54,90135638,J. Estlin Carpenter
55,89751266,George Makepeace Towle
56,125730970,A.C. Freeman
57,90159404,Amelia E Barr
58,90598758,Moncure D. Conway
59,124752894,Byron Ongley
60,124752894,Emil Nyitray
61,89676173,Francis Gribble
62,90631209,Roland G. Usher
63,90622858,William Allen White
64,90622858, Helen Ogden Mahin
65,89683657,John Smith
66,89646871,Fridtjof Nansen
67,89646871, William Archer
68,127542608,Herbert Mortimer Luckock
69,127390820,Ernest Lavisse
70,89653017,C. Kinloch Cooke
71,136992742,nan
72,124747684,Will N Harben
73,125348650,G. Frederick Wright
74,125272943,Charles Ferguson
75,124766315,Schuyler Van Rensselaer
76,136964116,Arthur Twinning Hadley
77,124178806,Stephen Phillips
78,125715359,Byron K Elliott
79,125715359, William F Elliott
80,137097377,William Dean Howells
81,124450952,Lois Waisbrooker
82,89671396,Mrs. Clarke
83,124898408,Emilia Pardo Bazan
84,90153449,George C. Mason
85,90154588,Edmund Gosse
86,90161546,E. J. Dillon
87,124732047,Matthew Arnold
88,90546389,Henry Wysham Lanier
89,125547097,W. Robinson
90,136971619,Antonio Fogazzaro
91,124907408,Horatio Hale
92,136872320,Horatio C. Wood
93,90142613,E. L. Voynich
94,90537156,Frederic C. Howe
95,90164528,R. Y. Tyrrell
96,89662238,Alexander Balmain Bruce
97,89662238, Marcus Dods
98,90528767,H. W. Garrod
99,89649785,William Z. Ripley
100,873897343,nan
101,126400532,John Richard Green
102,90251773,C. W. Previte-Orton
103,124900705,Daniel Wilson
104,124764451,Brander Matthews
105,124740955,Edward Alden Jewell
106,136025939,Henry Otis Dwight
107,124464443,Simon Pokagon
108,90126262,William J. Rolfe
109,90136958,Laurence Hutton
110,90527657,S. Edwin Solly
111,90085409,L. B. Walford
112,90630633,Mrs. Everard Cotes (Sara Jeannette Duncan)
113,89636788,Edward Westermarck
114,136412237,nan
115,136413083,Theodore D. Woolsey
116,124904526,E. F. Knight
117,90136515,A.H. Lewis
118,90097518,Robert Buchanan
119,136145477,Arthur C. Hill
120,136887509,Byron Bramwell
121,90306296,Samuel Adams Drake
122,90133341,Alphonse Daudet
123,124754571,W. B. Maxwell
124,124879331,Louis Couperus
125,90187613,W. E. Simonds
126,125730521,Austin Abbott
127,90606790,nan
128,90579980,Alfred R. Wallace
129,124759540,Octave Thanet
130,90542092,Edward T. Devine
131,126315326,John A. Lockwood
132,125249020,E. Q. Thornton
