,record_id,start_page,volume,numeric_pub_date,record_title,issue,pagination,url_doc_view,pub_id,review_type,reviewed_book_genre,genre_parsed
1,124900101,149,,18880929,Missouri: A Bone of Contention,248,149,http://search.proquest.com/docview/124900101/,24241,single_focus,Nonfiction - historical,nonfiction
5,89760874,568,39,18840401,Review 4 -- No Title,4,568,http://search.proquest.com/docview/89760874/,24087,single_focus,Nonfiction - biographical,nonfiction
6,89659668,235,XXXIX,19051016,LORD BYRON SELF-REVEALED.,464,235,http://search.proquest.com/docview/89659668/,25244,single_focus,Nonfiction - autobiographical,nonfiction
9,124736362,312,35,19120501,"VI COMPTON MACKENZIE'S ""CARNIVAL""",3,,http://search.proquest.com/docview/124736362/,24243,single_focus,Fiction,fiction
13,125250815,212,82,18810701,Review 17 -- No Title,163,212,http://search.proquest.com/docview/125250815/,41361,single_focus,Nonfiction,nonfiction
14,90548600,22,48,18960305,LIFE AND LETTERS OF DANTE GABRIEL ROSSETTI.,2466,22,http://search.proquest.com/docview/90548600/,24565,single_focus,Nonfiction - biographical,nonfiction
15,137131257,432,40,18891010,Review 2 -- No Title,15,432,http://search.proquest.com/docview/137131257/,35616,single_focus,Fiction,fiction
16,124736216,310,36,19121101,"""Mrs. Ames""",3,,http://search.proquest.com/docview/124736216/,24243,single_focus,Fiction,fiction
17,137077872,280,196,19120801,THE SOURCES OF RELIGIOUS INSIGHT.,681,280,http://search.proquest.com/docview/137077872/,40705,single_focus,Nonfiction,nonfiction
20,90287585,529,15,19190830,SOME LEGENDS OF THE WAR,3921,529,http://search.proquest.com/docview/90287585/,35438,single_focus,Nonfiction,nonfiction
21,125246033,206,118,18990801,Review 2 -- No Title,2,206,http://search.proquest.com/docview/125246033/,41361,single_focus,Nonfiction,nonfiction
23,136129795,292,3,18800301,Review 8 -- No Title,155,,http://search.proquest.com/docview/136129795/,35594,single_focus,Nonfiction - historical,nonfiction
24,90359967,10,38,18860408,Literature.,1949,10,http://search.proquest.com/docview/90359967/,24565,single_focus,Nonfiction - academic/pseudo-academic,nonfiction
26,90105768,200,12,18810604,Review 5 -- No Title,12,200,http://search.proquest.com/docview/90105768/,25067,single_focus,Nonfiction - sermons,nonfiction
29,136144380,489,32,19160501,Review 6 -- No Title,3,489,http://search.proquest.com/docview/136144380/,35593,single_focus,Fiction,fiction
31,90559137,840,65,19081008,Literature,3123,840,http://search.proquest.com/docview/90559137/,24565,single_focus,Fiction,fiction
32,89650108,142,XVIII,18950301,ART IN PRIMITIVE GREECE.,209,142,http://search.proquest.com/docview/89650108/,25244,single_focus,Nonfiction,nonfiction
33,124460722,694,,18960301,UNCLE JERRY'S PLATFORM.,No. LXXVI.,694,http://search.proquest.com/docview/124460722/,24237,single_focus,Fiction,fiction
35,89675866,355,XLVIII,19100516,THE GENIUS OF THE FRENCH.,574,355,http://search.proquest.com/docview/89675866/,25244,single_focus,Nonfiction,nonfiction
36,124151303,126,91,19060127,A Boys' Life of Christ,4,126,http://search.proquest.com/docview/124151303/,26207,single_focus,Fiction - bible narrative,fiction
44,124189638,619,85,19000426,Literature,17,619,http://search.proquest.com/docview/124189638/,26206,single_focus,Nonfiction,nonfiction
45,125728562,474,35,19010501,Review 2 -- No Title,,474,http://search.proquest.com/docview/125728562/,35448,single_focus,Nonfiction,nonfiction
46,136927995,91,21,19000101,Review 1 -- No Title,1,91,http://search.proquest.com/docview/136927995/,41352,single_focus,Nonfiction,nonfiction
49,90582707,332,83,19150906,THE RUSSIAN SOUL,3483,332,http://search.proquest.com/docview/90582707/,24565,single_focus,Nonfiction,nonfiction
50,136531676,573,80,19020322,Review 10 -- No Title,12,,http://search.proquest.com/docview/136531676/,24230,single_focus,Nonfiction - handbook/guide,nonfiction
52,124742287,71,49,19190301,A BOOK-SHELF FOR THE MONTH,1,,http://search.proquest.com/docview/124742287/,24243,single_focus,Fiction,fiction
54,90710064,98,55,19100113,The Latest Books,1420,98,http://search.proquest.com/docview/90710064/,35397,single_focus,Fiction,fiction
56,125248726,206,94,18870701,Review 5 -- No Title,187,206,http://search.proquest.com/docview/125248726/,41361,single_focus,Nonfiction,nonfiction
57,125284689,13,70,18990119,Review 2 -- No Title,3,13,http://search.proquest.com/docview/125284689/,24208,single_focus,Nonfiction,nonfiction
58,124882878,347,25,18960516,Literature,743,347,http://search.proquest.com/docview/124882878/,24241,single_focus,Nonfiction - political,nonfiction
59,90444175,787,53,19010404,LITERATURE.,2731,787,http://search.proquest.com/docview/90444175/,24565,single_focus,Nonfiction - autobiographical,nonfiction
60,124752239,436,2,18960101,Review 8 -- No Title,5,,http://search.proquest.com/docview/124752239/,24243,single_focus,Fiction,fiction
