,record_id,reviewed_book_publisher
0,124900101,"Houghton, Mifflin & Company"
1,89760874,Charles Scribner's Sons
2,89659668,John Murray
3,89659668, Charles Scribner's Sons
4,124736362,D. Appleton and Company
5,125250815,E. B. Treat
6,90548600,nan
7,137131257,nan
8,124736216,nan
9,137077872,Charles Scribner's Sons
10,90287585,La Renaissance du livre
11,125246033,"Balliere, Tindall & Cox"
12,136129795,Robert Carter & Brothers
13,90359967,Ticknor & Co.
14,90105768,Geo. H. Ellis
15,136144380,Frederick A. Stokes Company
16,90559137,Henry Holt & Co.
17,89650108,A.C. Armstrong & Son
18,124460722,Arena PublishingCompany
19,89675866,Duffield & Co. 
20,124151303,Funk & Wagnalls Co.
21,124189638,G.P. Putnam's Sons
22,125728562,The Lawyers Cooperative Publishing Company
23,136927995,"Bulletin of the University of Wisconsin, Philology and Literature Series"
24,90582707,"McBride, Nast & Co."
25,136531676,P. Blakiston's Son & Co.
26,124742287,E. P. Dutton & Company
27,90710064,nan
28,125248726,G.P. Putnam's Sons
29,125284689,Charles Scribner's Sons
30,124882878,"Longmans, Green & Co."
31,90444175,"Doubleday, Page & Co."
32,124752239,"Houghton, Mifflin & Co."
33,136707079,Roberts Brothers
34,124744486,E.P. Dutton and Company
35,124451296,J.B. Lippincott
36,124914654,Scribner & Welford
37,127446458,Harper & Brothers: New York
38,90390994,Adam & Charles Black
39,124688361,McGraw-Hill
40,89676052,"Little, Brown & Co."
41,90272171,Doran
42,90099356,Roberts Brothers
43,136758573,Macmillan & Company
44,89664544,Macmillan
45,124909790,Frederick A. Stokes & Bro
46,90135638,D. Appleton & Co. 
47,89751266,Roberts Brothers
48,125730970,Bancroft-Whitney Company
49,90159404,The Appletons
50,90598758,"Houghton, Mifflin & Co."
51,124752894,nan
52,89676173,Charles Scribner's Sons
53,90631209,Macmillan
54,90622858,The Macmillan Company
55,89683657,E. P. Dutton & Company
56,89646871,"Longman's, Green, & Co."
57,127542608,"Longmans, Green & Co."
