,record_id,entity
0,124900101,['Carr']
1,89760874,"['Henry', 'Bessemer']"
2,89760874,"['William', 'Siemens']"
3,89760874,"['Joseph', 'Whitworth']"
4,89760874,"['Thomas', 'Brown']"
5,89760874,"['Henry', 'Brown']"
6,89659668,['Byron']
7,89659668,['W']
8,89659668,['Johnson']
9,89659668,['Clare']
10,124736362,['Ver']
11,124736362,['Aldavini']
12,125250815,['Fox']
13,90548600,"['William', 'Michael', 'Rossetti']"
14,90548600,"['Theodore', 'Watts']"
15,137131257,"['Robort', 'Louis', 'Stevenson']"
16,137131257,['Stevenson']
17,137131257,['Jokyl']
18,137131257,['IHydmo']
19,124736216,['Ames']
20,124736216,['Benson']
21,124736216,['Evans']
22,124736216,['Amnes']
23,137077872,['Royce']
24,90287585,"['Arthur', 'Mlachlen']"
25,90359967,['Morse']
26,90359967,['Morsels']
27,90105768,['Brooke']
28,90559137,['Benson']
29,89650108,"['Walter', 'Armstrong']"
30,124460722,['Hissef']
31,124460722,['Alice']
32,89675866,"['James', 'Darmesteter']"
33,89675866,['DuClaux']
34,89675866,"['Mary', 'DuClaux']"
35,89675866,['Lanson']
36,89675866,"['Walter', 'Scott']"
37,89675866,"['Du', 'Claux']"
38,89675866,"['de', 'Maintenon']"
39,89675866,"['de', 'Svigne']"
40,89675866,"['de', 'Stael']"
41,124151303,['Forbush']
42,124189638,"['Peroy', 'Gardner']"
43,124189638,['Gardner']
44,125728562,['Freeman']
45,125728562,['Labatt']
46,125728562,"['Farnham', 'Pp']"
47,136927995,['Allen']
48,136927995,"['H', 'R', 'Fairclough']"
49,90582707,"['Leo', 'Wiener']"
50,90582707,['Wiener']
51,124742287,['W']
52,90710064,['Austin']
53,90710064,"['Robert', 'Hicliens']"
54,90710064,['Hichens']
55,125248726,['Hartmann']
56,125284689,"['Van', 'Rensselaer']"
57,124882878,"['Andrew', 'Jackson']"
58,124882878,['Lecky']
59,124882878,['Burgess']
60,124882878,"['Goldwin', 'Smith']"
61,90444175,['Washington']
62,90444175,"['General', 'Ruffner']"
63,124752239,['Dougall']
64,124752239,['Deland']
65,124752239,['Dougahl']
66,136707079,['Allen']
67,124744486,['Synions']
68,124744486,['Symons']
69,124744486,"['Erasmus', 'Dar']"
70,124744486,"['Egerton', 'Brydges']"
71,124744486,"['Eger', 'ton', 'Brydges']"
72,124451296,['Dawson']
73,124451296,['Munchausen']
74,124451296,['Somerset']
75,124451296,"['Arthur', 'H', 'Pollen']"
76,124451296,['Brick']
77,124451296,"['Somerset', 'says', 'Fifty']"
78,127446458,"['Chnrles', 'Ilureoford']"
79,127446458,"['Cbarles', 'Bereatord']"
80,90390994,['Graham']
81,90390994,"['said', 'Oh']"
82,90272171,['Alaughmai']
83,90272171,['Maughiais']
84,90272171,['Alaughaiu']
85,90099356,['Brown']
86,90099356,"['Robert', 'Oh']"
87,136758573,"['R', 'G', 'Watson']"
88,136758573,['Browne']
89,89664544,"['E', 'Belfast', 'Bax']"
90,89664544,['Bax']
91,124909790,['Church']
92,124909790,['Ilium']
93,124909790,['Chiurch']
94,124909790,['Parrish']
95,124909790,['Chlitrch']
96,124909790,['Hlynernats']
97,124909790,['Freer']
98,90135638,"['J', 'Estlin', 'Carpenter']"
99,90135638,"['William', 'B', 'Carpenter']"
100,90135638,['Carpenter']
101,89751266,['Towle']
102,89751266,"['Beacons', 'field', 'Castelar', 'Victor', 'Hugo', 'John', 'Bright']"
103,90159404,"['Amelia', 'E', 'Barr']"
104,90159404,['Barr']
105,90598758,['Conway']
106,90598758,['Lincoln']
107,90598758,['Clifford']
108,90598758,['Twitchell']
109,90598758,"['Twichell', 'II']"
110,89676173,"['Francis', 'Gribble']"
111,89676173,['Gribble']
112,89676173,['Hugo']
113,89676173,"['Gribble', 'shows', 'us', 'Hugo']"
114,89676173,"['Marie', 'Corelli']"
115,90631209,['Usher']
116,90622858,['Mahin']
117,89683657,['Pictures']
118,89683657,['Waagen']
119,89683657,"['C', 'Hofstede', 'de', 'Groot']"
120,127542608,['Luckook']
121,89653017,['Mary']
122,89653017,"['C', 'Kinloch', 'Cooke']"
123,89653017,"['John', 'Falstaff']"
124,89653017,['Cooke']
125,89653017,['Glad']
126,89653017,['Alexander']
127,124747684,['Harhen']
128,124747684,['Tarben']
129,124747684,['Harbent']
130,124747684,['H']
131,124747684,['Harben']
132,125348650,"['G', 'Frederick', 'Wright', 'Given']"
133,125272943,['Ferguson']
134,124766315,"['Van', 'Rensselaer']"
135,136964116,['Hadley']
136,124178806,['Phillip']
137,124178806,['Phillips']
138,125715359,['Mill']
139,125715359,['Campbell']
140,137097377,['Howells']
141,89671396,['Clarke']
142,90153449,['Mason']
143,90153449,['Stuart']
144,90153449,['Wash']
145,90154588,['Gosse']
146,90154588,"['W', 'J', 'Rolfe']"
147,90154588,['Rolfe']
148,90546389,"['Henry', 'Wysham', 'Lanier']"
149,125547097,['Robinson']
150,125547097,['Parsons']
151,124907408,['Schuchardt']
152,124907408,['Hale']
153,90142613,"['E', 'L', 'Voynich']"
154,90537156,['Bryce']
155,90537156,['Howe']
156,90537156,"['H', 'G', 'Wells']"
157,90164528,['Stedman']
158,90164528,['Jebb']
159,90164528,['Tyrrell']
160,90164528,['Conington']
161,89662238,"['AV', 'Robertson', 'Nicoll']"
162,89662238,"['Alexander', 'Balntain', 'Brtce', 'Dl']"
163,89662238,['Dods']
164,89662238,['Bruce']
165,90528767,['Garrod']
166,90528767,['Garro']
167,89649785,['Ripley']
168,126400532,['Green']
169,90251773,['Patrick']
170,90251773,"['Previte', 'Orton']"
171,90251773,"['Previtd', 'Orton']"
172,90251773,"['Holland', 'Gray']"
173,124900705,"['Daniel', 'Wilson']"
174,124900705,['Wilson']
175,124900705,"['Sybil', 'Wilson']"
176,124900705,"['Ignatius', 'Donnelly']"
177,124764451,['Matthews']
178,124740955,['Brathers']
179,124740955,['Jewell']
180,90126262,['Rolfe']
181,90126262,"['F', 'G', 'Fleay']"
182,90126262,['Hudson']
183,90085409,['Walford']
184,90085409,['Smith']
185,90085409,['Smzith']
186,90085409,['Matilda']
187,90630633,"['Everard', 'Cotes', 'Sarajeannette', 'Duncan', 'New', 'York', 'ID', 'Appleton', 'Co']"
188,90630633,['Cotes']
189,89636788,"['Henry', 'Maine']"
190,89636788,"['Herbert', 'Spencer']"
191,89636788,"['Staniland', 'Wake']"
192,89636788,['Starcke']
193,89636788,['Darwin']
194,89636788,['Spencer']
195,89636788,['Westermarek']
196,136412237,['Schaff']
197,136412237,['J']
198,136412237,"['ScArFF', 'DD', 'LLD']"
199,136412237,['SAMUEL']
200,136413083,['WOOLSEY']
201,124904526,['Knight']
202,90097518,['Buchanan']
203,136145477,"['Arthur', 'C', 'Hill']"
204,136145477,['Hill']
205,136145477,"['Hill', 'says', 'Christian']"
206,136887509,['Bramwell']
207,136887509,"['Herbert', 'Page']"
208,90306296,['Drake']
209,124754571,"['W', 'B', 'MIaxwell']"
210,124754571,['Maxwell']
211,124754571,['Barradine']
212,124754571,['Barra']
213,90187613,"['W', 'E', 'Simonds']"
214,90187613,['Simonds']
215,90187613,"['Thons', 'Wyatt']"
216,90187613,"['Thomas', 'Wyatt']"
217,90187613,['Nott']
218,125730521,['Abbott']
219,90606790,"['Talbot', 'J', 'Taylor']"
220,90606790,['Taylor']
