,ngram,count
0,"('at', 'the', 'right', 'of')",2
1,"('the', 'right', 'of', 'the')",2
2,"('right', 'of', 'the', 'british')",2
3,"('of', 'the', 'british', 'line')",2
4,"('the', 'british', 'line', 'by')",1
5,"('british', 'line', 'by', 'captain')",1
6,"('line', 'by', 'captain', 'gilbert')",1
7,"('by', 'captain', 'gilbert', 'nobbs')",1
8,"('captain', 'gilbert', 'nobbs', 'scribner')",1
9,"('gilbert', 'nobbs', 'scribner', 'a')",1
10,"('nobbs', 'scribner', 'a', 'war')",1
11,"('scribner', 'a', 'war', 'book')",1
12,"('a', 'war', 'book', 'likely')",1
13,"('war', 'book', 'likely', 'to')",1
14,"('book', 'likely', 'to', 'be')",1
15,"('likely', 'to', 'be', 'widely')",1
16,"('to', 'be', 'widely', 'read')",1
17,"('be', 'widely', 'read', 'is')",1
18,"('widely', 'read', 'is', 'gilbert')",1
19,"('read', 'is', 'gilbert', 'nobbs')",1
20,"('is', 'gilbert', 'nobbs', 's')",1
21,"('gilbert', 'nobbs', 's', 'at')",1
22,"('nobbs', 's', 'at', 'the')",1
23,"('s', 'at', 'the', 'right')",1
24,"('the', 'british', 'line', 'a')",1
25,"('british', 'line', 'a', 'civilian')",1
26,"('line', 'a', 'civilian', 'officer')",1
27,"('a', 'civilian', 'officer', 'of')",1
28,"('civilian', 'officer', 'of', 'the')",1
29,"('officer', 'of', 'the', 'new')",1
30,"('of', 'the', 'new', 'english')",1
31,"('the', 'new', 'english', 'army')",1
32,"('new', 'english', 'army', 'captain')",1
33,"('english', 'army', 'captain', 'nobbs')",1
34,"('army', 'captain', 'nobbs', 'was')",1
35,"('captain', 'nobbs', 'was', 'only')",1
36,"('nobbs', 'was', 'only', 'five')",1
37,"('was', 'only', 'five', 'weeks')",1
38,"('only', 'five', 'weeks', 'in')",1
39,"('five', 'weeks', 'in', 'the')",1
40,"('weeks', 'in', 'the', 'fighting')",1
41,"('in', 'the', 'fighting', 'line')",1
42,"('the', 'fighting', 'line', 'his')",1
43,"('fighting', 'line', 'his', 'small')",1
44,"('line', 'his', 'small', 'command')",1
45,"('his', 'small', 'command', 'was')",1
46,"('small', 'command', 'was', 'given')",1
47,"('command', 'was', 'given', 'what')",1
48,"('was', 'given', 'what', 'proved')",1
49,"('given', 'what', 'proved', 'to')",1
50,"('what', 'proved', 'to', 'be')",1
51,"('proved', 'to', 'be', 'an')",1
52,"('to', 'be', 'an', 'impossible')",1
53,"('be', 'an', 'impossible', 'task')",1
54,"('an', 'impossible', 'task', 'in')",1
55,"('impossible', 'task', 'in', 'the')",1
56,"('task', 'in', 'the', 'fighting')",1
57,"('in', 'the', 'fighting', 'on')",1
58,"('the', 'fighting', 'on', 'the')",1
59,"('fighting', 'on', 'the', 'somme')",1
60,"('on', 'the', 'somme', 'and')",1
61,"('the', 'somme', 'and', 'after')",1
62,"('somme', 'and', 'after', 'losing')",1
63,"('and', 'after', 'losing', 'most')",1
64,"('after', 'losing', 'most', 'of')",1
