,ngram,count
0,"('the', 'continuity', 'of', 'christian')",1
1,"('continuity', 'of', 'christian', 'thought')",1
2,"('of', 'christian', 'thought', 'a')",1
3,"('christian', 'thought', 'a', 'study')",1
4,"('thought', 'a', 'study', 'of')",1
5,"('a', 'study', 'of', 'modern')",1
6,"('study', 'of', 'modern', 'theology')",1
7,"('of', 'modern', 'theology', 'in')",1
8,"('modern', 'theology', 'in', 'the')",1
9,"('theology', 'in', 'the', 'light')",1
10,"('in', 'the', 'light', 'of')",1
11,"('the', 'light', 'of', 'its')",1
12,"('light', 'of', 'its', 'history')",1
13,"('of', 'its', 'history', 'by')",1
14,"('its', 'history', 'by', 'alexander')",1
15,"('history', 'by', 'alexander', 'v')",1
16,"('by', 'alexander', 'v', 'g')",1
17,"('alexander', 'v', 'g', 'allen')",1
18,"('v', 'g', 'allen', 'professor')",1
19,"('g', 'allen', 'professor', 'in')",1
20,"('allen', 'professor', 'in', 'the')",1
21,"('professor', 'in', 'the', 'episcopal')",1
22,"('in', 'the', 'episcopal', 'theological')",1
23,"('the', 'episcopal', 'theological', 'school')",1
24,"('episcopal', 'theological', 'school', 'in')",1
25,"('theological', 'school', 'in', 'cambridge')",1
26,"('school', 'in', 'cambridge', 'boston')",1
27,"('in', 'cambridge', 'boston', 'houghton')",1
28,"('cambridge', 'boston', 'houghton', 'mifflin')",1
29,"('boston', 'houghton', 'mifflin', 'co')",1
30,"('houghton', 'mifflin', 'co', 'mo')",1
31,"('mifflin', 'co', 'mo', 'pp')",1
32,"('co', 'mo', 'pp', 'xviii')",1
33,"('mo', 'pp', 'xviii', 'this')",1
34,"('pp', 'xviii', 'this', 'book')",1
35,"('xviii', 'this', 'book', 'is')",1
36,"('this', 'book', 'is', 'a')",1
37,"('book', 'is', 'a', 'valuable')",1
38,"('is', 'a', 'valuable', 'contribution')",1
39,"('a', 'valuable', 'contribution', 'to')",1
40,"('valuable', 'contribution', 'to', 'what')",1
41,"('contribution', 'to', 'what', 'is')",1
42,"('to', 'what', 'is', 'known')",1
43,"('what', 'is', 'known', 'as')",1
44,"('is', 'known', 'as', 'the')",1
45,"('known', 'as', 'the', 'philoso')",1
46,"('as', 'the', 'philoso', 'phy')",1
47,"('the', 'philoso', 'phy', 'of')",1
48,"('philoso', 'phy', 'of', 'history')",1
49,"('phy', 'of', 'history', 'almost')",1
50,"('of', 'history', 'almost', 'a')",1
51,"('history', 'almost', 'a', 'new')",1
52,"('almost', 'a', 'new', 'thing')",1
53,"('a', 'new', 'thing', 'in')",1
54,"('new', 'thing', 'in', 'ecclesiastical')",1
55,"('thing', 'in', 'ecclesiastical', 'inquiry')",1
56,"('in', 'ecclesiastical', 'inquiry', 'it')",1
57,"('ecclesiastical', 'inquiry', 'it', 'takes')",1
58,"('inquiry', 'it', 'takes', 'us')",1
59,"('it', 'takes', 'us', 'back')",1
60,"('takes', 'us', 'back', 'to')",1
61,"('us', 'back', 'to', 'the')",1
62,"('back', 'to', 'the', 'beginnings')",1
63,"('to', 'the', 'beginnings', 'of')",1
64,"('the', 'beginnings', 'of', 'christian')",1
65,"('beginnings', 'of', 'christian', 'theology')",1
66,"('of', 'christian', 'theology', 'and')",1
67,"('christian', 'theology', 'and', 'shows')",1
68,"('theology', 'and', 'shows', 'us')",1
69,"('and', 'shows', 'us', 'that')",1
70,"('shows', 'us', 'that', 'in')",1
71,"('us', 'that', 'in', 'a')",1
72,"('that', 'in', 'a', 'large')",1
73,"('in', 'a', 'large', 'degree')",1
74,"('a', 'large', 'degree', 'the')",1
75,"('large', 'degree', 'the', 'advanced')",1
76,"('degree', 'the', 'advanced', 'thought')",1
77,"('the', 'advanced', 'thought', 'of')",1
78,"('advanced', 'thought', 'of', 'to')",1
79,"('thought', 'of', 'to', 'day')",1
80,"('of', 'to', 'day', 'is')",1
81,"('to', 'day', 'is', 'a')",1
82,"('day', 'is', 'a', 'reproduction')",1
83,"('is', 'a', 'reproduction', 'of')",1
84,"('a', 'reproduction', 'of', 'the')",1
85,"('reproduction', 'of', 'the', 'earliest')",1
86,"('of', 'the', 'earliest', 'thoughts')",1
87,"('the', 'earliest', 'thoughts', 'of')",1
88,"('earliest', 'thoughts', 'of', 'christians')",1
89,"('thoughts', 'of', 'christians', 'on')",1
90,"('of', 'christians', 'on', 'the')",1
