,ngram,count
0,"('literary', 'our', 'book', 'table')",1
1,"('our', 'book', 'table', 'tho')",1
2,"('book', 'table', 'tho', 'books')",1
3,"('table', 'tho', 'books', 'can')",1
4,"('tho', 'books', 'can', 'be')",1
5,"('books', 'can', 'be', 'from')",1
6,"('can', 'be', 'from', 'tha')",1
7,"('be', 'from', 'tha', 'direct')",1
8,"('from', 'tha', 'direct', 'or')",1
9,"('tha', 'direct', 'or', 'from')",1
10,"('direct', 'or', 'from', 'john')",1
11,"('or', 'from', 'john', 'p')",1
12,"('from', 'john', 'p', 'morton')",1
13,"('john', 'p', 'morton', 't')",1
14,"('p', 'morton', 't', 'company')",1
15,"('morton', 't', 'company', 'of')",1
16,"('t', 'company', 'of', 'thin')",1
17,"('company', 'of', 'thin', 'in')",1
18,"('of', 'thin', 'in', 'the')",1
19,"('thin', 'in', 'the', 'chrielwn')",1
20,"('in', 'the', 'chrielwn', 'obaerroer')",1
21,"('the', 'chrielwn', 'obaerroer', 'a')",1
22,"('chrielwn', 'obaerroer', 'a', 'i')",1
23,"('obaerroer', 'a', 'i', 'a')",1
24,"('a', 'i', 'a', 'tife')",1
25,"('i', 'a', 'tife', 'pitl')",1
26,"('a', 'tife', 'pitl', 'i')",1
27,"('tife', 'pitl', 'i', 'anu')",1
28,"('pitl', 'i', 'anu', 'or')",1
29,"('i', 'anu', 'or', 'senmovs')",1
30,"('anu', 'or', 'senmovs', 'hytohn')",1
31,"('or', 'senmovs', 'hytohn', 'a')",1
32,"('senmovs', 'hytohn', 'a', 'broadus')",1
33,"('hytohn', 'a', 'broadus', 'd')",1
34,"('a', 'broadus', 'd', 'l')",1
35,"('broadus', 'd', 'l', 'd')",1
36,"('d', 'l', 'd', 'luthor')",1
37,"('l', 'd', 'luthor', 'of')",1
38,"('d', 'luthor', 'of', 'a')",1
39,"('luthor', 'of', 'a', 'harmony')",1
40,"('of', 'a', 'harmony', 'of')",1
41,"('a', 'harmony', 'of', 'the')",1
42,"('harmony', 'of', 'the', 'goslole')",1
43,"('of', 'the', 'goslole', 'otc')",1
44,"('the', 'goslole', 'otc', 'i')",1
45,"('goslole', 'otc', 'i', 'by')",1
46,"('otc', 'i', 'by', 'rjwin')",1
47,"('i', 'by', 'rjwin', 'charles')",1
48,"('by', 'rjwin', 'charles', 'inrgan')",1
49,"('rjwin', 'charles', 'inrgan', 'd')",1
50,"('charles', 'inrgan', 'd', 'd')",1
51,"('inrgan', 'd', 'd', 'hro')",1
52,"('d', 'd', 'hro', 'of')",1
53,"('d', 'hro', 'of', 'homiletics')",1
54,"('hro', 'of', 'homiletics', 'in')",1
55,"('of', 'homiletics', 'in', 'tho')",1
56,"('homiletics', 'in', 'tho', 'southern')",1
57,"('in', 'tho', 'southern', 'theological')",1
58,"('tho', 'southern', 'theological', 'somlnary')",1
59,"('southern', 'theological', 'somlnary', 'louisvlllo')",1
60,"('theological', 'somlnary', 'louisvlllo', 'iiy')",1
61,"('somlnary', 'louisvlllo', 'iiy', 'vo')",1
62,"('louisvlllo', 'iiy', 'vo', 'up')",1
63,"('iiy', 'vo', 'up', 'u')",1
64,"('vo', 'up', 'u', 'yew')",1
65,"('up', 'u', 'yew', 'ork')",1
66,"('u', 'yew', 'ork', 'c')",1
67,"('yew', 'ork', 'c', 'armstrong')",1
68,"('ork', 'c', 'armstrong', 'and')",1
69,"('c', 'armstrong', 'and', 'son')",1
70,"('armstrong', 'and', 'son', 'l')",1
71,"('and', 'son', 'l', 'or')",1
72,"('son', 'l', 'or', 'sale')",1
73,"('l', 'or', 'sale', 'by')",1
74,"('or', 'sale', 'by', 'chas')",1
75,"('sale', 'by', 'chas', 'l')",1
76,"('by', 'chas', 'l', 'dearlng')",1
