,ngram,count
0,"('men', 'women', 'and', 'lovers')",2
1,"('women', 'and', 'lovers', 'iss')",1
2,"('and', 'lovers', 'iss', 'simcox')",1
3,"('lovers', 'iss', 'simcox', 'is')",1
4,"('iss', 'simcox', 'is', 'a')",1
5,"('simcox', 'is', 'a', 'writer')",1
6,"('is', 'a', 'writer', 'who')",1
7,"('a', 'writer', 'who', 'has')",1
8,"('writer', 'who', 'has', 'al')",1
9,"('who', 'has', 'al', 'ready')",1
10,"('has', 'al', 'ready', 'attracted')",1
11,"('al', 'ready', 'attracted', 'notice')",1
12,"('ready', 'attracted', 'notice', 'in')",1
13,"('attracted', 'notice', 'in', 'england')",1
14,"('notice', 'in', 'england', 'by')",1
15,"('in', 'england', 'by', 'her')",1
16,"('england', 'by', 'her', 'volume')",1
17,"('by', 'her', 'volume', 'on')",1
18,"('her', 'volume', 'on', 'natural')",1
19,"('volume', 'on', 'natural', 'law')",1
20,"('on', 'natural', 'law', 'the')",1
21,"('natural', 'law', 'the', 'present')",1
22,"('law', 'the', 'present', 'little')",1
23,"('the', 'present', 'little', 'book')",1
24,"('present', 'little', 'book', 'has')",1
25,"('little', 'book', 'has', 'an')",1
26,"('book', 'has', 'an', 'unfortunate')",1
27,"('has', 'an', 'unfortunate', 'title')",1
28,"('an', 'unfortunate', 'title', 'sugges')",1
29,"('unfortunate', 'title', 'sugges', 'tive')",1
30,"('title', 'sugges', 'tive', 'of')",1
31,"('sugges', 'tive', 'of', 'nothing')",1
32,"('tive', 'of', 'nothing', 'more')",1
33,"('of', 'nothing', 'more', 'than')",1
34,"('nothing', 'more', 'than', 'a')",1
35,"('more', 'than', 'a', 'collection')",1
36,"('than', 'a', 'collection', 'of')",1
37,"('a', 'collection', 'of', 'sentimentalities')",1
38,"('collection', 'of', 'sentimentalities', 'but')",1
39,"('of', 'sentimentalities', 'but', 'in')",1
40,"('sentimentalities', 'but', 'in', 'reality')",1
41,"('but', 'in', 'reality', 'it')",1
42,"('in', 'reality', 'it', 'is')",1
43,"('reality', 'it', 'is', 'serious')",1
44,"('it', 'is', 'serious', 'rather')",1
45,"('is', 'serious', 'rather', 'than')",1
46,"('serious', 'rather', 'than', 'light')",1
47,"('rather', 'than', 'light', 'in')",1
48,"('than', 'light', 'in', 'character')",1
49,"('light', 'in', 'character', 'thrown')",1
50,"('in', 'character', 'thrown', 'into')",1
51,"('character', 'thrown', 'into', 'the')",1
52,"('thrown', 'into', 'the', 'shape')",1
53,"('into', 'the', 'shape', 'of')",1
54,"('the', 'shape', 'of', 'fictitious')",1
