,ngram,count
0,"('this', 'is', 'not')",1
1,"('is', 'not', 'a')",1
2,"('not', 'a', 'particularly')",1
3,"('a', 'particularly', 'strong')",1
4,"('particularly', 'strong', 'story')",1
5,"('strong', 'story', 'but')",1
6,"('story', 'but', 'its')",1
7,"('but', 'its', 'materials')",1
8,"('its', 'materials', 'are')",1
9,"('materials', 'are', 'good')",1
10,"('are', 'good', 'and')",1
11,"('good', 'and', 'fresh')",1
12,"('and', 'fresh', 'and')",1
13,"('fresh', 'and', 'we')",1
14,"('and', 'we', 'incline')",1
15,"('we', 'incline', 'to')",1
16,"('incline', 'to', 'give')",1
17,"('to', 'give', 'it')",1
18,"('give', 'it', 'place')",1
19,"('it', 'place', 'by')",1
20,"('place', 'by', 'the')",1
21,"('by', 'the', 'side')",1
22,"('the', 'side', 'of')",1
23,"('side', 'of', 'the')",1
24,"('of', 'the', 'georgians')",1
25,"('the', 'georgians', 'as')",1
26,"('georgians', 'as', 'the')",1
27,"('as', 'the', 'second')",1
28,"('the', 'second', 'best')",1
29,"('second', 'best', 'thus')",1
30,"('best', 'thus', 'far')",1
31,"('thus', 'far', 'of')",1
32,"('far', 'of', 'the')",1
33,"('of', 'the', 'round')",1
34,"('the', 'round', 'robin')",1
35,"('round', 'robin', 'novels')",1
36,"('robin', 'novels', 'like')",1
37,"('novels', 'like', 'that')",1
38,"('like', 'that', 'it')",1
39,"('that', 'it', 'is')",1
40,"('it', 'is', 'a')",1
41,"('is', 'a', 'story')",1
42,"('a', 'story', 'of')",1
43,"('story', 'of', 'southern')",1
44,"('of', 'southern', 'life')",1
45,"('southern', 'life', 'the')",1
46,"('life', 'the', 'scene')",1
47,"('the', 'scene', 'being')",1
48,"('scene', 'being', 'laid')",1
49,"('being', 'laid', 'in')",1
50,"('laid', 'in', 'virginia')",1
51,"('in', 'virginia', 'in')",1
52,"('virginia', 'in', 'the')",1
53,"('in', 'the', 'old')",1
54,"('the', 'old', 'times')",1
55,"('old', 'times', 'of')",1
56,"('times', 'of', 'slavery')",1
57,"('of', 'slavery', 'before')",1
58,"('slavery', 'before', 'the')",1
59,"('before', 'the', 'war')",1
60,"('the', 'war', 'the')",1
61,"('war', 'the', 'author')",1
62,"('the', 'author', 'is')",1
63,"('author', 'is', 'to')",1
64,"('is', 'to', 'the')",1
65,"('to', 'the', 'manner')",1
66,"('the', 'manner', 'born')",1
67,"('manner', 'born', 'knows')",1
68,"('born', 'knows', 'to')",1
69,"('knows', 'to', 'the')",1
70,"('to', 'the', 'life')",1
71,"('the', 'life', 'the')",1
72,"('life', 'the', 'architecture')",1
73,"('the', 'architecture', 'style')",1
74,"('architecture', 'style', 'people')",1
75,"('style', 'people', 'and')",1
76,"('people', 'and', 'customs')",1
77,"('and', 'customs', 'of')",1
78,"('customs', 'of', 'a')",1
79,"('of', 'a', 'virginia')",1
80,"('a', 'virginia', 'plantation')",1
81,"('virginia', 'plantation', 'under')",1
82,"('plantation', 'under', 'the')",1
83,"('under', 'the', 'old')",1
84,"('the', 'old', 'r')",1
85,"('old', 'r', 'irne')",1
86,"('r', 'irne', 'and')",1
87,"('irne', 'and', 'has')",1
88,"('and', 'has', 'succeeded')",1
89,"('has', 'succeeded', 'in')",1
90,"('succeeded', 'in', 'restoring')",1
91,"('in', 'restoring', 'a')",1
92,"('restoring', 'a', 'vivid')",1
93,"('a', 'vivid', 'picture')",1
94,"('vivid', 'picture', 'of')",1
95,"('picture', 'of', 'a')",1
96,"('of', 'a', 'social')",1
97,"('a', 'social', 'and')",1
98,"('social', 'and', 'domestic')",1
99,"('and', 'domestic', 'interior')",1
100,"('domestic', 'interior', 'now')",1
101,"('interior', 'now', 'passed')",1
102,"('now', 'passed', 'for')",1
103,"('passed', 'for', 'ever')",1
104,"('for', 'ever', 'away')",1
105,"('ever', 'away', 'the')",1
106,"('away', 'the', 'book')",1
107,"('the', 'book', 'would')",1
108,"('book', 'would', 'not')",1
109,"('would', 'not', 'be')",1
110,"('not', 'be', 'out')",1
111,"('be', 'out', 'of')",1
112,"('out', 'of', 'place')",1
113,"('of', 'place', 'next')",1
114,"('place', 'next', 'to')",1
115,"('next', 'to', 'uncle')",1
116,"('to', 'uncle', 'tomn')",1
117,"('uncle', 'tomn', 's')",1
118,"('tomn', 's', 'cabin')",1
119,"('s', 'cabin', 'for')",1
120,"('cabin', 'for', 'while')",1
121,"('for', 'while', 'never')",1
122,"('while', 'never', 'so')",1
123,"('never', 'so', 'dramatic')",1
124,"('so', 'dramatic', 'nor')",1
125,"('dramatic', 'nor', 'intense')",1
126,"('nor', 'intense', 'as')",1
127,"('intense', 'as', 'that')",1
128,"('as', 'that', 'and')",1
129,"('that', 'and', 'shaped')",1
130,"('and', 'shaped', 'by')",1
131,"('shaped', 'by', 'a')",1
132,"('by', 'a', 'far')",1
133,"('a', 'far', 'less')",1
134,"('far', 'less', 'serious')",1
135,"('less', 'serious', 'purpose')",1
136,"('serious', 'purpose', 'and')",1
137,"('purpose', 'and', 'written')",1
138,"('and', 'written', 'by')",1
139,"('written', 'by', 'a')",1
140,"('by', 'a', 'much')",1
141,"('a', 'much', 'less')",1
142,"('much', 'less', 'skillful')",1
143,"('less', 'skillful', 'hand')",1
144,"('skillful', 'hand', 'it')",1
145,"('hand', 'it', 'de')",1
146,"('it', 'de', 'pends')",1
147,"('de', 'pends', 'for')",1
148,"('pends', 'for', 'its')",1
149,"('for', 'its', 'interest')",1
150,"('its', 'interest', 'upon')",1
151,"('interest', 'upon', 'somewhat')",1
152,"('upon', 'somewhat', 'the')",1
153,"('somewhat', 'the', 'same')",1
154,"('the', 'same', 'elements')",1
155,"('same', 'elements', 'and')",1
156,"('elements', 'and', 'one')",1
157,"('and', 'one', 'of')",1
158,"('one', 'of', 'its')",1
159,"('of', 'its', 'characters')",1
160,"('its', 'characters', 'at')",1
161,"('characters', 'at', 'least')",1
162,"('at', 'least', 'the')",1
163,"('least', 'the', 'girl')",1
164,"('the', 'girl', 'chloe')",1
165,"('girl', 'chloe', 'deserves')",1
166,"('chloe', 'deserves', 'a')",1
167,"('deserves', 'a', 'share')",1
168,"('a', 'share', 'of')",1
169,"('share', 'of', 'the')",1
170,"('of', 'the', 'honors')",1
171,"('the', 'honors', 'that')",1
172,"('honors', 'that', 'have')",1
173,"('that', 'have', 'been')",1
174,"('have', 'been', 'heaped')",1
175,"('been', 'heaped', 'upon')",1
176,"('heaped', 'upon', 'topsy')",1
177,"('upon', 'topsy', 'the')",1
178,"('topsy', 'the', 'story')",1
179,"('the', 'story', 'opens')",1
180,"('story', 'opens', 'before')",1
181,"('opens', 'before', 'the')",1
182,"('before', 'the', 'kitchen')",1
183,"('the', 'kitchen', 'door')",1
184,"('kitchen', 'door', 'of')",1
185,"('door', 'of', 'dunmore')",1
186,"('of', 'dunmore', 'a')",1
187,"('dunmore', 'a', 'farm')",1
188,"('a', 'farm', 'on')",1
189,"('farm', 'on', 'the')",1
190,"('on', 'the', 'james')",1
191,"('the', 'james', 'river')",1
192,"('james', 'river', 'one')",1
193,"('river', 'one', 'breezy')",1
194,"('one', 'breezy', 'day')",1
195,"('breezy', 'day', 'in')",1
196,"('day', 'in', 'june')",1
197,"('in', 'june', 'where')",1
198,"('june', 'where', 'old')",1
199,"('where', 'old', 'aunt')",1
200,"('old', 'aunt', 'cinthy')",1
201,"('aunt', 'cinthy', 'is')",1
202,"('cinthy', 'is', 'making')",1
203,"('is', 'making', 'strawberry')",1
204,"('making', 'strawberry', 'preserves')",1
205,"('strawberry', 'preserves', 'under')",1
206,"('preserves', 'under', 'the')",1
207,"('under', 'the', 'direction')",1
208,"('the', 'direction', 'of')",1
209,"('direction', 'of', 'miss')",1
210,"('of', 'miss', 'homoselle')",1
211,"('miss', 'homoselle', 'despard')",1
212,"('homoselle', 'despard', 'chloe')",1
213,"('despard', 'chloe', 'being')",1
214,"('chloe', 'being', 'employed')",1
215,"('being', 'employed', 'in')",1
216,"('employed', 'in', 'keeping')",1
217,"('in', 'keeping', 'off')",1
218,"('keeping', 'off', 'the')",1
219,"('off', 'the', 'flies')",1
220,"('the', 'flies', 'with')",1
221,"('flies', 'with', 'a')",1
222,"('with', 'a', 'great')",1
223,"('a', 'great', 'brush')",1
224,"('great', 'brush', 'and')",1
225,"('brush', 'and', 'the')",1
226,"('and', 'the', 'boy')",1
227,"('the', 'boy', 'skip')",1
228,"('boy', 'skip', 'a')",1
229,"('skip', 'a', 'boy')",1
230,"('a', 'boy', 'as')",1
231,"('boy', 'as', 'is')",1
232,"('as', 'is', 'a')",1
233,"('is', 'a', 'boy')",1
234,"('a', 'boy', 'flitting')",1
235,"('boy', 'flitting', 'in')",1
236,"('flitting', 'in', 'and')",1
237,"('in', 'and', 'out')",1
238,"('and', 'out', 'with')",1
239,"('out', 'with', 'his')",1
240,"('with', 'his', 'dog')",1
241,"('his', 'dog', 'dash')",1
242,"('dog', 'dash', 'to')",1
243,"('dash', 'to', 'the')",1
244,"('to', 'the', 'general')",1
245,"('the', 'general', 'confusion')",1
246,"('general', 'confusion', 'to')",1
247,"('confusion', 'to', 'this')",1
248,"('to', 'this', 'scene')",1
249,"('this', 'scene', 'enters')",1
250,"('scene', 'enters', 'mr')",1
251,"('enters', 'mr', 'halsey')",1
252,"('mr', 'halsey', 'a')",1
253,"('halsey', 'a', 'sturdy')",1
254,"('a', 'sturdy', 'young')",1
255,"('sturdy', 'young', 'homoselle')",1
256,"('young', 'homoselle', 'round')",1
257,"('homoselle', 'round', 'robinseries')",1
258,"('round', 'robinseries', 'jamesrosgood')",1
259,"('robinseries', 'jamesrosgood', 'co')",1
260,"('jamesrosgood', 'co', 'englishman')",1
261,"('co', 'englishman', 'who')",1
262,"('englishman', 'who', 'has')",1
263,"('who', 'has', 'come')",1
264,"('has', 'come', 'over')",1
265,"('come', 'over', 'to')",1
266,"('over', 'to', 'virginia')",1
267,"('to', 'virginia', 'to')",1
268,"('virginia', 'to', 'visit')",1
269,"('to', 'visit', 'his')",1
270,"('visit', 'his', 'friend')",1
271,"('his', 'friend', 'major')",1
272,"('friend', 'major', 'carter')",1
273,"('major', 'carter', 'on')",1
274,"('carter', 'on', 'the')",1
275,"('on', 'the', 'neighboring')",1
276,"('the', 'neighboring', 'plantation')",1
277,"('neighboring', 'plantation', 'and')",1
278,"('plantation', 'and', 'who')",1
279,"('and', 'who', 'has')",1
280,"('who', 'has', 'been')",1
281,"('has', 'been', 'commended')",1
282,"('been', 'commended', 'to')",1
283,"('commended', 'to', 'the')",1
284,"('to', 'the', 'kind')",1
285,"('the', 'kind', 'offices')",1
286,"('kind', 'offices', 'of')",1
287,"('offices', 'of', 'the')",1
288,"('of', 'the', 'des')",1
289,"('the', 'des', 'pards')",1
290,"('des', 'pards', 'during')",1
291,"('pards', 'during', 'the')",1
292,"('during', 'the', 'temporary')",1
293,"('the', 'temporary', 'absence')",1
294,"('temporary', 'absence', 'of')",1
295,"('absence', 'of', 'his')",1
296,"('of', 'his', 'host')",1
297,"('his', 'host', 'it')",1
298,"('host', 'it', 'is')",1
299,"('it', 'is', 'not')",1
300,"('is', 'not', 'always')",1
301,"('not', 'always', 'that')",1
302,"('always', 'that', 'the')",1
303,"('that', 'the', 'man')",1
304,"('the', 'man', 'and')",1
305,"('man', 'and', 'woman')",1
306,"('and', 'woman', 'who')",1
307,"('woman', 'who', 'are')",1
308,"('who', 'are', 'introduced')",1
309,"('are', 'introduced', 'to')",1
310,"('introduced', 'to', 'us')",1
311,"('to', 'us', 'in')",1
312,"('us', 'in', 'the')",1
313,"('in', 'the', 'first')",1
314,"('the', 'first', 'pages')",1
315,"('first', 'pages', 'of')",1
316,"('pages', 'of', 'a')",1
317,"('of', 'a', 'novel')",1
318,"('a', 'novel', 'become')",1
319,"('novel', 'become', 'lovers')",1
320,"('become', 'lovers', 'at')",1
321,"('lovers', 'at', 'once')",1
322,"('at', 'once', 'and')",1
323,"('once', 'and', 'turn')",1
324,"('and', 'turn', 'out')",1
325,"('turn', 'out', 'to')",1
326,"('out', 'to', 'be')",1
327,"('to', 'be', 'the')",1
328,"('be', 'the', 'groom')",1
329,"('the', 'groom', 'and')",1
330,"('groom', 'and', 'bride')",1
331,"('and', 'bride', 'at')",1
332,"('bride', 'at', 'the')",1
333,"('at', 'the', 'last')",1
