,ngram,count
0,"('literature', 'mr', 'phillips')",1
1,"('mr', 'phillips', 's')",3
2,"('phillips', 's', 'new')",1
3,"('s', 'new', 'play')",1
4,"('new', 'play', 'in')",1
5,"('play', 'in', 'this')",1
6,"('in', 'this', 'latest')",1
7,"('this', 'latest', 'drama')",1
8,"('latest', 'drama', 'mr')",1
9,"('drama', 'mr', 'phillips')",1
10,"('mr', 'phillips', 'has')",2
11,"('phillips', 'has', 'produced')",1
12,"('has', 'produced', 'a')",1
13,"('produced', 'a', 'poem')",1
14,"('a', 'poem', 'of')",1
15,"('poem', 'of', 'exquisite')",1
16,"('of', 'exquisite', 'prettiness')",1
17,"('exquisite', 'prettiness', 'if')",1
18,"('prettiness', 'if', 'one')",1
19,"('if', 'one', 'were')",1
20,"('one', 'were', 'asked')",1
21,"('were', 'asked', 'to')",1
22,"('asked', 'to', 'designate')",1
23,"('to', 'designate', 'its')",1
24,"('designate', 'its', 'chief')",1
25,"('its', 'chief', 'characteristic')",1
26,"('chief', 'characteristic', 'in')",1
27,"('characteristic', 'in', 'a')",1
28,"('in', 'a', 'single')",1
29,"('a', 'single', 'word')",1
30,"('single', 'word', 'he')",1
31,"('word', 'he', 'would')",1
32,"('he', 'would', 'probably')",1
33,"('would', 'probably', 'say')",1
34,"('probably', 'say', 'facility')",1
35,"('say', 'facility', 'to')",1
36,"('facility', 'to', 'use')",1
37,"('to', 'use', 'the')",1
38,"('use', 'the', 'term')",1
39,"('the', 'term', 'of')",1
40,"('term', 'of', 'castiglione')",1
41,"('of', 'castiglione', 'from')",1
42,"('castiglione', 'from', 'beginning')",1
43,"('from', 'beginning', 'to')",1
44,"('beginning', 'to', 'end')",1
45,"('to', 'end', 'the')",1
46,"('end', 'the', 'lines')",1
47,"('the', 'lines', 'follow')",1
48,"('lines', 'follow', 'one')",1
49,"('follow', 'one', 'another')",1
50,"('one', 'another', 'with')",1
51,"('another', 'with', 'a')",1
52,"('with', 'a', 'facile')",1
53,"('a', 'facile', 'swiftness')",1
54,"('facile', 'swiftness', 'a')",1
55,"('swiftness', 'a', 'delicacy')",1
56,"('a', 'delicacy', 'of')",1
57,"('delicacy', 'of', 'touch')",1
58,"('of', 'touch', 'an')",1
59,"('touch', 'an', 'l')",1
60,"('an', 'l', 'withal')",1
61,"('l', 'withal', 'an')",1
62,"('withal', 'an', 'easy')",1
63,"('an', 'easy', 'regularity')",1
64,"('easy', 'regularity', 'that')",1
65,"('regularity', 'that', 'carry')",1
66,"('that', 'carry', 'the')",1
67,"('carry', 'the', 'reader')",1
68,"('the', 'reader', 'along')",1
69,"('reader', 'along', 'almost')",1
70,"('along', 'almost', 'without')",1
71,"('almost', 'without', 'his')",1
72,"('without', 'his', 'attention')",1
73,"('his', 'attention', 'most')",1
74,"('attention', 'most', 'notable')",1
75,"('most', 'notable', 'perhaps')",1
76,"('notable', 'perhaps', 'is')",1
77,"('perhaps', 'is', 'this')",1
78,"('is', 'this', 'this')",1
79,"('this', 'this', 'facilitv')",1
80,"('this', 'facilitv', 'of')",1
81,"('facilitv', 'of', 'trained')",1
82,"('of', 'trained', 'skill')",1
83,"('trained', 'skill', 'in')",1
84,"('skill', 'in', 'the')",1
85,"('in', 'the', 'prologue')",1
86,"('the', 'prologue', 'on')",1
87,"('prologue', 'on', 'olvmpus')",1
88,"('on', 'olvmpus', 'where')",1
89,"('olvmpus', 'where', 'mr')",1
90,"('where', 'mr', 'phillips')",1
91,"('phillips', 'has', 'caught')",1
92,"('has', 'caught', 'of')",1
93,"('caught', 'of', 'the')",1
94,"('of', 'the', 'half')",1
95,"('the', 'half', 'ironical')",1
96,"('half', 'ironical', 'manner')",1
97,"('ironical', 'manner', 'of')",1
98,"('manner', 'of', 'homer')",1
99,"('of', 'homer', 'in')",1
100,"('homer', 'in', 'his')",1
101,"('in', 'his', 'celestial')",1
102,"('his', 'celestial', 'scenes')",1
103,"('celestial', 'scenes', 'and')",1
104,"('scenes', 'and', 'of')",1
105,"('and', 'of', 'goethe')",1
106,"('of', 'goethe', 'in')",1
107,"('goethe', 'in', 'the')",1
108,"('in', 'the', 'dialogue')",1
109,"('the', 'dialogue', 'between')",1
110,"('dialogue', 'between', 'mephistopheles')",1
111,"('between', 'mephistopheles', 'and')",1
112,"('mephistopheles', 'and', 'the')",1
113,"('and', 'the', 'lord')",1
114,"('the', 'lord', 'but')",1
115,"('lord', 'but', 'there')",1
116,"('but', 'there', 'is')",1
117,"('there', 'is', 'more')",1
118,"('is', 'more', 'in')",1
119,"('more', 'in', 'the')",1
120,"('in', 'the', 'poem')",1
121,"('the', 'poem', 'than')",1
122,"('poem', 'than', 'mere')",1
123,"('than', 'mere', 'facility')",1
124,"('mere', 'facility', 'admirable')",1
125,"('facility', 'admirable', 'as')",1
126,"('admirable', 'as', 'such')",1
127,"('as', 'such', 'a')",1
128,"('such', 'a', 'trait')",1
