,ngram,count
0,"('an', 'unknown', 'story')",1
1,"('unknown', 'story', 'by')",1
2,"('story', 'by', 'balzac')",1
3,"('by', 'balzac', 'by')",1
4,"('balzac', 'by', 'albert')",1
5,"('by', 'albert', 'schinz')",1
6,"('albert', 'schinz', 'here')",1
7,"('schinz', 'here', 'has')",1
8,"('here', 'has', 'come')",1
9,"('has', 'come', 'to')",1
10,"('come', 'to', 'light')",1
11,"('to', 'light', 'a')",1
12,"('light', 'a', 'novel')",1
13,"('a', 'novel', 'by')",1
14,"('novel', 'by', 'balzac')",1
15,"('by', 'balzac', 'the')",1
16,"('balzac', 'the', 'ex')",1
17,"('the', 'ex', 'of')",1
18,"('ex', 'of', 'which')",1
19,"('of', 'which', 'had')",1
20,"('which', 'had', 're')",1
21,"('had', 're', 'mained')",1
22,"('re', 'mained', 'unknown')",1
23,"('mained', 'unknown', 'to')",1
24,"('unknown', 'to', 'the')",1
25,"('to', 'the', 'world')",1
26,"('the', 'world', 'for')",1
27,"('world', 'for', 'two')",1
28,"('for', 'two', 'thirds')",1
29,"('two', 'thirds', 'of')",1
30,"('thirds', 'of', 'a')",1
31,"('of', 'a', 'century')",1
32,"('a', 'century', 'this')",1
33,"('century', 'this', 'novel')",1
34,"('this', 'novel', 'l')",1
35,"('novel', 'l', 'amour')",1
36,"('l', 'amour', 'alasque')",1
37,"('amour', 'alasque', 'or')",1
38,"('alasque', 'or', 'as')",1
39,"('or', 'as', 'the')",1
40,"('as', 'the', 'author')",1
41,"('the', 'author', 'at')",1
42,"('author', 'at', 'first')",1
43,"('at', 'first', 'called')",1
44,"('first', 'called', 'it')",1
45,"('called', 'it', 'imprudence')",1
46,"('it', 'imprudence', 'et')",1
47,"('imprudence', 'et', 'bonlieur')",1
48,"('et', 'bonlieur', 'was')",1
49,"('bonlieur', 'was', 'written')",1
50,"('was', 'written', 'for')",1
51,"('written', 'for', 'the')",1
52,"('for', 'the', 'famous')",1
53,"('the', 'famous', 'duchesse')",1
54,"('famous', 'duchesse', 'de')",1
55,"('duchesse', 'de', 'dino')",1
56,"('de', 'dino', 'balzac')",1
57,"('dino', 'balzac', 'had')",1
58,"('balzac', 'had', 'been')",1
