,ngram,count
0,"('mr', 'stedman')",12
1,"('stedman', 's')",4
2,"('s', 'latest')",1
3,"('latest', 'book')",1
4,"('book', 'a')",4
5,"('a', 'course')",1
6,"('course', 'of')",1
7,"('of', 'lectures')",1
8,"('lectures', 'delivered')",1
9,"('delivered', 'at')",1
10,"('at', 'the')",2
11,"('the', 'johrs')",1
12,"('johrs', 'hopkins')",1
13,"('hopkins', 'university')",1
14,"('university', 'has')",1
15,"('has', 'here')",1
16,"('here', 'been')",1
17,"('been', 'given')",1
18,"('given', 'its')",1
19,"('its', 'final')",1
20,"('final', 'touches')",1
21,"('touches', 'and')",1
22,"('and', 'set')",1
23,"('set', 'in')",1
24,"('in', 'a')",3
25,"('a', 'permanent')",2
26,"('permanent', 'form')",1
27,"('form', 'the')",1
28,"('the', 'first')",2
29,"('first', 'and')",1
30,"('and', 'as')",1
31,"('as', 'it')",1
32,"('it', 'turns')",1
33,"('turns', 'out')",1
34,"('out', 'to')",3
35,"('to', 'be')",4
36,"('be', 'impression')",1
37,"('impression', 'received')",1
38,"('received', 'from')",1
39,"('from', 'reading')",1
40,"('reading', 'them')",1
41,"('them', 'is')",1
42,"('is', 'that')",2
43,"('that', 'the')",2
44,"('the', 'author')",1
45,"('author', 'has')",1
46,"('has', 'not')",3
47,"('not', 'a')",2
48,"('a', 'doubt')",1
49,"('doubt', 'of')",1
50,"('of', 'the')",14
51,"('the', 'importance')",1
52,"('importance', 'of')",1
53,"('of', 'his')",6
54,"('his', 'subject')",2
55,"('subject', 'in')",1
56,"('in', 'the')",2
57,"('the', 'main')",1
58,"('main', 'mr')",1
59,"('stedman', 'has')",4
60,"('has', 'done')",1
61,"('done', 'what')",1
62,"('what', 'he')",2
63,"('he', 'set')",2
64,"('set', 'out')",1
65,"('to', 'do')",1
66,"('do', 'and')",1
67,"('and', 'his')",3
68,"('his', 'performance')",1
69,"('performance', 'compels')",1
70,"('compels', 'admiration')",1
71,"('admiration', 'as')",1
72,"('as', 'a')",4
73,"('a', 'line')",1
74,"('line', 'piece')",1
75,"('piece', 'of')",1
76,"('of', 'literary')",1
77,"('literary', 'art')",1
78,"('art', 'cast')",1
79,"('cast', 'in')",1
80,"('a', 'major')",1
81,"('major', 'mold')",1
82,"('mold', 'the')",1
83,"('the', 'critical')",1
84,"('critical', 'spirit')",1
85,"('spirit', 'of')",2
86,"('the', 'work')",2
87,"('work', 'is')",1
88,"('is', 'no')",5
89,"('no', 'ble')",1
90,"('ble', 'broad')",1
91,"('broad', 'humane')",1
92,"('humane', 'its')",1
93,"('its', 'ethics')",1
94,"('ethics', 'appeal')",1
95,"('appeal', 'to')",1
96,"('to', 'what')",2
97,"('what', 'is')",2
98,"('is', 'best')",1
99,"('best', 'in')",1
100,"('in', 'us')",1
101,"('us', 'if')",1
102,"('if', 'we')",3
103,"('we', 'are')",2
104,"('are', 'not')",1
105,"('not', 'quite')",2
106,"('quite', 'in')",1
107,"('in', 'sympathy')",1
108,"('sympathy', 'with')",1
109,"('with', 'some')",1
110,"('some', 'of')",2
111,"('his', 'views')",1
112,"('views', 'if')",1
113,"('we', 'can')",2
114,"('can', 'not')",2
115,"('not', 'accept')",1
116,"('accept', 'as')",1
117,"('as', 'authoritative')",1
118,"('authoritative', 'some')",1
119,"('his', 'elementary')",1
120,"('elementary', 'definitions')",1
121,"('definitions', 'if')",1
122,"('if', 'his')",1
123,"('his', 'philosophy')",1
124,"('philosophy', 'of')",1
125,"('of', 'poetry')",6
126,"('poetry', 'seems')",1
127,"('seems', 'at')",1
128,"('at', 'times')",1
129,"('times', 'misty')",1
130,"('misty', 'if')",1
131,"('if', 'what')",1
132,"('he', 'offers')",1
133,"('offers', 'as')",1
134,"('a', 'scientific')",2
135,"('scientific', 'study')",1
136,"('study', 'strikes')",1
137,"('strikes', 'us')",1
138,"('us', 'now')",1
139,"('now', 'and')",1
140,"('and', 'again')",1
141,"('again', 'as')",1
142,"('as', 'lacking')",1
143,"('lacking', 'a')",1
144,"('a', 'basis')",1
145,"('basis', 'of')",1
146,"('of', 'substance')",1
147,"('substance', 'we')",1
148,"('we', 'still')",1
149,"('still', 'find')",1
150,"('find', 'ample')",1
151,"('ample', 'ground')",1
152,"('ground', 'for')",1
153,"('for', 'cordial')",1
154,"('cordial', 'agreement')",1
155,"('agreement', 'and')",1
156,"('and', 'admiration')",1
157,"('admiration', 'all')",1
158,"('all', 'along')",1
159,"('along', 'the')",1
160,"('the', 'nomenclature')",1
161,"('nomenclature', 'so')",1
162,"('so', 'far')",1
163,"('far', 'as')",1
164,"('as', 'mr')",1
165,"('has', 'adopted')",1
166,"('adopted', 'one')",1
167,"('one', 'in')",1
168,"('in', 'this')",1
169,"('this', 'book')",3
170,"('book', 'is')",2
171,"('that', 'of')",1
172,"('the', 'distinguished')",1
173,"('distinguished', 'english')",1
174,"('english', 'critic')",1
175,"('critic', 'mr')",1
176,"('mr', 'theodore')",1
177,"('theodore', 'watts')",1
178,"('watts', 'in')",1
179,"('in', 'his')",2
180,"('his', 'celebrated')",1
181,"('celebrated', 'article')",1
182,"('article', 'on')",1
183,"('on', 'poetry')",1
184,"('poetry', 'in')",1
185,"('in', 'tbe')",1
186,"('tbe', 'ninth')",1
187,"('ninth', 'edition')",1
188,"('edition', 'of')",1
189,"('the', 'encycloptedia')",1
190,"('encycloptedia', 'britannica')",1
191,"('britannica', 'and')",1
192,"('and', 'air')",1
193,"('air', 'stedman')",2
194,"('has', 'accepted')",1
195,"('accepted', 'mr')",1
196,"('mr', 'watts')",3
197,"('watts', 's')",2
198,"('s', 'system')",1
199,"('system', 'of')",1
200,"('of', 'classification')",1
201,"('classification', 'if')",1
202,"('we', 'may')",1
203,"('may', 'call')",1
204,"('call', 'it')",1
205,"('it', 'that')",1
206,"('that', 'here')",1
207,"('here', 'is')",2
208,"('is', 'at')",1
209,"('at', 'once')",2
210,"('once', 'the')",1
211,"('the', 'strength')",1
212,"('strength', 'and')",1
213,"('and', 'the')",6
214,"('the', 'weakness')",1
215,"('weakness', 'of')",1
216,"('work', 'admitting')",1
217,"('admitting', 'mr')",1
218,"('s', 'premises')",1
219,"('premises', 'his')",1
220,"('his', 'conclusions')",1
221,"('conclusions', 'are')",1
222,"('are', 'unavoidable')",1
223,"('unavoidable', 'but')",1
224,"('but', 'we')",1
225,"('we', 'have')",2
226,"('have', 'never')",1
227,"('never', 'been')",1
228,"('been', 'able')",1
229,"('able', 'to')",2
230,"('to', 'recognize')",1
231,"('recognize', 'poetry')",1
232,"('poetry', 'as')",1
