,ngram,count
0,"('mr', 'dobson')",4
1,"('dobson', 's')",1
2,"('s', 'four')",1
3,"('four', 'frenchwomen')",2
4,"('frenchwomen', 'between')",1
5,"('between', 'covers')",1
6,"('covers', 'of')",1
7,"('of', 'more')",1
8,"('more', 'than')",1
9,"('than', 'usual')",1
10,"('usual', 'attractiveness')",1
11,"('attractiveness', 'appear')",1
12,"('appear', 'the')",1
13,"('the', 'lives')",1
14,"('lives', 'of')",1
15,"('of', 'four')",1
16,"('frenchwomen', 'to')",1
17,"('to', 'the')",3
18,"('the', 'retelling')",1
19,"('retelling', 'of')",1
20,"('of', 'which')",1
21,"('which', 'mr')",1
22,"('mr', 'austin')",1
23,"('austin', 'dobson')",1
24,"('dobson', 'has')",2
25,"('has', 'brought')",1
26,"('brought', 'his')",1
27,"('his', 'consummate')",1
28,"('consummate', 'literary')",1
29,"('literary', 'workmanship')",1
30,"('workmanship', 'the')",1
31,"('the', 'actors')",1
32,"('actors', 'of')",1
33,"('of', 'the')",7
34,"('the', 'great')",1
35,"('great', 'national')",1
36,"('national', 'tragedy')",1
37,"('tragedy', 'of')",1
38,"('of', 'france')",1
39,"('france', 'culminating')",1
40,"('culminating', 'in')",2
41,"('in', 'who')",1
42,"('who', 'during')",1
43,"('during', 'its')",1
44,"('its', 'opening')",1
45,"('opening', 'scenes')",1
46,"('scenes', 'danced')",1
47,"('danced', 'their')",1
48,"('their', 'gavottes')",1
49,"('gavottes', 'and')",1
50,"('and', 'tossed')",1
51,"('tossed', 'their')",1
52,"('their', 'epigrams')",1
53,"('epigrams', 'unheeding')",1
54,"('unheeding', 'the')",1
55,"('the', 'coming')",1
56,"('coming', 'crash')",1
57,"('crash', 'lose')",1
58,"('lose', 'nothing')",1
59,"('nothing', 'of')",1
60,"('of', 'their')",2
61,"('their', 'interest')",1
62,"('interest', 'as')",1
63,"('as', 'time')",1
64,"('time', 'goes')",1
65,"('goes', 'on')",1
66,"('on', 'extenuating')",1
67,"('extenuating', 'naught')",1
68,"('naught', 'and')",1
69,"('and', 'yet')",1
70,"('yet', 'tenderly')",1
71,"('tenderly', 'the')",1
72,"('the', 'author')",1
73,"('author', 'sketches')",1
74,"('sketches', 'for')",1
75,"('for', 'us')",1
76,"('us', 'the')",2
77,"('the', 'story')",1
78,"('story', 'of')",1
79,"('of', 'those')",2
80,"('those', 'two')",2
81,"('two', 'grim')",1
82,"('grim', 'heroines')",1
83,"('heroines', 'of')",1
84,"('the', 'girondins')",1
85,"('girondins', 'charlotte')",1
86,"('charlotte', 'de')",1
87,"('de', 'corday')",1
88,"('corday', 'and')",1
89,"('and', 'mine')",1
90,"('mine', 'de')",1
91,"('de', 'roland')",1
92,"('roland', 'who')",1
93,"('who', 'carried')",1
94,"('carried', 'their')",1
95,"('their', 'stoicism')",1
96,"('stoicism', 'to')",1
97,"('the', 'gallows')",1
98,"('gallows', 'foot')",1
99,"('foot', 'and')",1
100,"('and', 'cowed')",1
101,"('cowed', 'their')",1
102,"('their', 'accusers')",1
103,"('accusers', 'under')",1
104,"('under', 'the')",1
105,"('the', 'shadow')",1
106,"('shadow', 'of')",1
107,"('the', 'knife')",1
108,"('knife', 'thev')",1
109,"('thev', 'were')",1
110,"('were', 'of')",1
111,"('of', 'stone')",1
112,"('stone', 'those')",1
113,"('two', 'and')",1
114,"('and', 'deucalion')",1
115,"('deucalion', 'though')",1
116,"('though', 'mr')",1
117,"('dobson', 'be')",1
118,"('be', 'he')",1
119,"('he', 'can')",1
120,"('can', 'not')",1
121,"('not', 'give')",1
122,"('give', 'them')",1
123,"('them', 'the')",1
124,"('the', 'breath')",1
125,"('breath', 'of')",1
126,"('of', 'humanity')",1
127,"('humanity', 'that')",1
128,"('that', 'would')",1
129,"('would', 'make')",1
130,"('make', 'them')",1
131,"('them', 'of')",1
132,"('of', 'our')",1
133,"('our', 'kin')",1
134,"('kin', 'to')",1
135,"('to', 'be')",2
136,"('be', 'wept')",1
137,"('wept', 'over')",1
138,"('over', 'in')",1
139,"('in', 'their')",1
140,"('their', 'extremity')",1
141,"('extremity', 'more')",1
142,"('more', 'touching')",1
143,"('touching', 'is')",1
144,"('is', 'his')",1
145,"('his', 'pathetic')",1
146,"('pathetic', 'picture')",1
147,"('picture', 'of')",1
148,"('of', 'her')",3
149,"('her', 'who')",1
150,"('who', 'was')",1
151,"('was', 'the')",1
152,"('the', 'staunch')",1
153,"('staunch', 'friend')",1
154,"('friend', 'of')",1
155,"('the', 'hated')",1
156,"('hated', 'autrichienne')",1
157,"('autrichienne', 'the')",1
158,"('the', 'hapless')",1
159,"('hapless', 'princesse')",1
160,"('princesse', 'de')",1
161,"('de', 'lamballe')",1
162,"('lamballe', 'of')",1
163,"('the', 'beauty')",1
164,"('beauty', 'of')",1
165,"('of', 'this')",2
166,"('this', 'lady')",1
167,"('lady', 'he')",1
168,"('he', 'quotes')",1
169,"('quotes', 'and')",1
170,"('and', 'declares')",1
171,"('declares', 'untranslatable')",1
172,"('untranslatable', 'the')",1
173,"('the', 'description')",1
174,"('description', 'of')",1
175,"('the', 'mm')",1
176,"('mm', 'de')",1
177,"('de', 'goncourt')",1
178,"('goncourt', 'containing')",1
179,"('containing', 'this')",1
180,"('this', 'striking')",1
181,"('striking', 'passage')",1
182,"('passage', 'i')",1
183,"('i', 'l')",1
184,"('l', 'n')",1
185,"('n', 'y')",1
186,"('y', 'avait')",1
187,"('avait', 'pas')",1
188,"('pas', 'un')",1
189,"('un', 'pli')",1
190,"('pli', 'une')",1
191,"('une', 'nuage')",1
192,"('nuage', 'sur')",1
193,"('sur', 'son')",1
194,"('son', 'beau')",1
195,"('beau', 'front')",1
196,"('front', 'battu')",1
197,"('battu', 'de')",1
198,"('de', 'ces')",1
199,"('ces', 'longs')",1
200,"('longs', 'cheveux')",1
201,"('cheveux', 'encore')",1
202,"('encore', 'autour')",1
203,"('autour', 'de')",1
204,"('de', 'la')",1
205,"('la', 'pique')",1
206,"('pique', 'de')",1
207,"('de', 'septembre')",1
208,"('septembre', 'and')",1
209,"('and', 'from')",1
210,"('from', 'the')",2
211,"('the', 'poignant')",1
212,"('poignant', 'chapter')",1
213,"('chapter', 'of')",1
214,"('her', 'brutal')",1
215,"('brutal', 'murder')",1
216,"('murder', 'culminating')",1
217,"('in', 'the')",3
218,"('the', 'parade')",1
219,"('parade', 'of')",1
220,"('of', 'tbat')",1
221,"('tbat', 'dainty')",1
222,"('dainty', 'ghastly')",1
223,"('ghastly', 'head')",1
224,"('head', 'we')",1
225,"('we', 'are')",1
226,"('are', 'led')",1
227,"('led', 'with')",1
228,"('with', 'a')",2
229,"('a', 'sigh')",1
230,"('sigh', 'of')",1
231,"('of', 'relief')",1
232,"('relief', 'to')",1
233,"('the', 'brighter')",1
234,"('brighter', 'spectacle')",1
235,"('spectacle', 'of')",1
236,"('of', 'a')",2
237,"('a', 'in')",1
238,"('in', 'her')",2
239,"('her', 'native')",1
240,"('native', 'atmosphere')",1
241,"('atmosphere', 'mme')",1
242,"('mme', 'de')",1
243,"('de', 'genlis')",1
244,"('genlis', 'whose')",1
245,"('whose', 'memoir')",1
246,"('memoir', 'completes')",1
247,"('completes', 'the')",1
248,"('the', 'number')",1
249,"('number', 'selected')",1
250,"('selected', 'for')",1
251,"('for', 'this')",1
252,"('this', 'volume')",1
253,"('volume', 'was')",1
254,"('was', 'one')",1
255,"('one', 'of')",1
256,"('those', 'wonderful')",1
257,"('wonderful', 'women')",1
258,"('women', 'of')",1
259,"('of', 'old')",1
260,"('old', 'france')",1
261,"('france', 'whom')",1
262,"('whom', 'time')",1
263,"('time', 'could')",1
264,"('could', 'not')",1
265,"('not', 'wither')",1
