,ngram,count
0,thu,1
1,double,1
2,garden,1
3,by,3
4,maurice,1
5,maeterlinck,4
6,dodd,1
7,mead,1
8,comdanv,1
9,io,1
10,net,1
11,this,8
12,volume,1
13,of,28
14,sixteen,1
15,essays,4
16,translated,1
17,with,2
18,one,6
19,alexander,1
20,teixeira,1
21,de,1
22,mattos,1
23,is,13
24,a,3
25,curious,1
26,compound,1
27,the,49
28,commonplace,1
29,and,18
30,ex,1
31,traordinary,1
32,as,5
33,whole,1
34,it,10
35,certainly,1
36,does,1
37,not,6
38,com,1
39,pare,1
40,favorably,1
41,m,1
42,s,1
43,other,1
44,volumes,1
45,though,1
46,saying,1
47,any,2
48,means,1
49,that,14
50,worth,4
51,reading,3
52,distinctly,1
53,much,1
54,manv,1
55,times,1
56,essay,1
57,on,5
58,modern,4
59,drama,4
60,alone,2
61,would,2
62,make,1
63,book,1
64,having,1
65,add,1
66,to,2
67,two,2
68,foretelling,1
69,future,2
70,leaf,1
71,olive,1
72,in,8
73,which,3
74,there,2
75,fundamentally,1
76,same,1
77,thought,1
78,three,1
79,discount,1
80,stupidity,2
81,our,4
82,friend,1
83,dog,1
84,death,3
85,crown,1
86,an,1
87,auto,1
88,mobile,1
89,flowers,2
90,suffer,1
91,severely,1
92,from,4
93,translation,2
94,do,2
95,all,2
96,them,1
97,for,11
98,matter,2
99,but,2
100,these,2
101,are,2
102,so,5
103,dependent,1
104,names,1
105,resonance,1
106,french,1
107,locality,1
108,gar,1
109,dens,1
110,they,2
111,approach,1
112,meaningless,1
113,when,2
114,put,1
115,into,2
116,english,1
117,through,1
118,special,1
119,fault,1
120,translator,1
121,however,1
122,be,3
123,said,1
124,main,1
125,his,2
126,reason,1
127,i,1
128,ascribes,1
129,world,1
130,active,1
131,passions,1
132,love,4
133,hate,1
134,revenge,1
135,etc,1
136,have,2
137,become,1
138,cooled,1
139,under,1
140,modem,1
141,activities,1
142,law,1
143,order,1
144,men,1
145,women,1
146,present,2
147,time,1
148,acting,1
149,did,1
150,older,1
151,dramas,1
152,only,1
153,ridiculous,1
154,he,5
155,says,2
156,sombre,1
157,pitiless,1
158,duties,1
159,fatally,1
160,impel,1
161,mankind,1
162,disaster,1
163,can,2
164,readily,1
165,take,1
166,root,1
167,consciousness,1
168,healthy,1
169,living,1
170,light,1
171,has,3
172,adequately,1
173,penetrated,1
174,such,1
175,will,5
176,no,5
177,room,1
178,honor,1
179,or,2
180,vengeance,1
181,conventions,1
182,clamor,1
183,blood,1
184,hold,1
185,prejudices,1
186,exact,1
187,tears,1
188,injustice,1
189,eager,1
190,sorrow,1
191,cast,1
192,their,1
193,throne,1
194,gods,1
195,who,2
196,insist,1
197,sacrifice,1
198,craves,1
199,sun,1
200,entered,1
201,con,1
202,sciousness,1
203,him,2
204,wise,1
205,reveal,1
206,duty,3
207,we,3
208,should,1
209,least,1
210,possible,1
211,harm,1
212,others,1
213,selves,1
214,spring,2
215,claims,1
216,already,1
217,approaching,1
218,state,1
219,later,1
220,after,1
221,speaking,1
222,ibsen,1
223,great,1
224,perhaps,1
225,struggle,1
226,against,1
227,egoism,1
228,ignorance,1
229,veri,1
230,table,1
231,century,1
232,shall,1
233,concerning,1
234,atti,1
235,tude,1
236,breathlessness,1
237,standing,1
238,at,1
239,moment,1
240,verge,1
241,discoveries,1
242,revo,1
243,theories,1
244,both,1
245,mind,2
246,save,1
247,could,1
248,convey,1
249,sensation,1
250,wonderfully,1
251,makes,1
252,you,1
253,feel,1
254,clearly,1
255,yet,1
256,mystically,1
257,mysterious,1
258,edge,1
259,things,1
260,pro,1
261,ducing,1
262,general,1
263,attitude,1
264,always,1
265,been,1
266,still,1
267,master,1
268,hand,1
269,reads,1
270,personifications,1
271,dogs,1
272,automobiles,1
