,ngram,count
0,miss,6
1,bird,6
2,among,1
3,the,57
4,malays,3
5,he,1
6,golden,3
7,chersonese,3
8,or,1
9,malay,4
10,peninsula,2
11,is,10
12,a,25
13,slender,1
14,asiatic,1
15,fore,1
16,finger,3
17,stretched,1
18,southward,1
19,between,2
20,india,1
21,and,36
22,china,1
23,seas,2
24,almost,1
25,far,1
26,enough,1
27,to,8
28,touch,1
29,sumatra,1
30,pointing,1
31,out,2
32,mari,1
33,time,1
34,highway,2
35,that,5
36,island,2
37,bor,1
38,neo,1
39,australia,1
40,of,28
41,singapore,1
42,nail,1
43,at,7
44,tit,1
45,this,5
46,malacca,2
47,its,1
48,lower,1
49,joint,1
50,penang,2
51,large,2
52,knuckle,1
53,it,7
54,jeweled,1
55,red,1
56,with,16
57,hot,2
58,blood,1
59,tropics,2
60,bony,1
61,lofty,1
62,mountains,2
63,soft,1
64,skinned,1
65,luxurious,1
66,veg,1
67,seamed,1
68,mines,1
69,tin,1
70,no,1
71,longer,1
72,only,4
73,but,4
74,now,1
75,mrs,1
76,bishop,1
77,yet,1
78,still,2
79,same,2
80,rocky,1
81,hawaiian,1
82,islands,1
83,unbeaten,1
84,tracks,1
85,in,21
86,yapan,1
87,home,2
88,ward,1
89,bound,1
90,by,4
91,way,2
92,hong,1
93,kong,1
94,can,1
95,ton,1
96,determined,1
97,pay,1
98,visit,2
99,fasci,1
100,nating,1
101,basis,1
102,present,1
103,volume,1
104,she,8
105,landed,1
106,singa,1
107,pore,1
108,then,1
109,coasted,1
110,northward,1
111,touching,1
112,selangor,1
113,dindings,1
114,ascending,1
115,rivers,2
116,wherever,1
117,could,2
118,into,1
119,hidden,1
120,treacherous,1
121,inte,1
122,rior,1
123,visiting,1
124,english,1
125,residents,1
126,their,3
127,bungalows,1
128,princes,1
129,go,1
130,downs,1
131,exploring,1
132,jungles,1
133,studying,1
134,natives,1
135,dissecting,1
136,politics,1
137,observing,1
138,nature,4
139,filling,1
140,her,5
141,mind,1
142,brilliant,1
143,impressions,1
144,never,1
145,be,3
146,forgotten,1
147,mem,1
148,ories,1
149,form,1
150,color,2
151,life,2
152,growth,1
153,peril,1
154,adventure,2
155,animate,1
156,mate,1
157,pen,2
158,insula,1
159,stops,1
160,just,1
161,short,1
162,equator,1
163,hundred,1
164,inches,2
165,rain,1
166,are,5
