,ngram,count
0,scott,3
1,the,35
2,history,4
3,of,22
4,moorish,2
5,empire,1
6,in,8
7,europe,1
8,by,5
9,samuel,1
10,parsons,1
11,vols,1
12,lippincott,1
13,i,1
14,beginning,1
15,bc,1
16,and,14
17,finishing,1
18,only,1
19,early,1
20,years,3
21,seventeenth,1
22,century,1
23,a,2
24,minute,1
25,exhaustive,1
26,moors,3
27,is,4
28,given,2
29,these,1
30,three,2
31,bulky,1
32,volumes,2
33,work,1
34,has,3
35,engaged,1
36,author,1
37,s,1
38,attention,1
39,for,3
40,twenty,1
41,while,1
42,consulting,1
43,numerous,1
44,other,2
45,authorities,1
46,he,1
47,relied,1
48,chiefly,1
49,on,3
50,histories,1
51,learned,1
52,orientalist,1
53,prof,1
54,r,1
55,dozv,1
56,university,1
57,leyden,1
58,as,4
59,re,1
60,sult,1
61,it,2
62,would,1
63,seem,1
64,that,3
65,no,1
66,detail,1
67,concerning,1
68,or,4
69,even,1
70,remotely,1
71,touching,1
72,their,2
73,development,1
74,been,2
75,forgotten,1
76,much,1
77,this,1
78,information,1
79,decidedly,1
80,teresting,1
81,but,1
82,book,2
83,marred,1
84,an,1
85,oriental,1
86,redundancy,1
87,style,1
88,repetitions,1
89,extravagantly,1
90,worded,1
91,accounts,1
92,dor,1
93,beauty,1
94,edifices,1
95,spain,2
96,elsewhere,1
97,contradictory,1
98,state,1
99,ments,1
100,when,1
101,instance,1
102,we,1
103,are,2
104,told,1
105,page,2
106,vol,1
107,ii,2
108,king,1
109,jalme,1
110,intro,1
111,duced,1
112,inquisition,2
113,into,1
114,w,1
115,had,1
116,not,1
117,yet,1
118,raised,1
119,its,3
120,bloody,1
121,menacing,1
122,hand,1
123,glory,1
124,establishment,1
125,was,1
126,reserved,1
127,pious,1
128,isabella,1
129,spite,1
130,labor,1
131,to,8
132,preparation,1
133,pro,1
134,duces,1
135,effect,1
136,hurriedness,1
137,words,1
138,facts,1
139,jostle,1
140,each,1
141,if,1
142,both,1
143,were,1
144,eager,1
145,be,3
146,first,1
147,dash,1
148,across,1
149,pyrenees,1
150,fez,1
151,sicily,1
152,at,1
153,birth,1
154,emperor,1
155,frederick,1
156,persecutions,1
157,jews,1
158,albigenses,1
159,have,2
160,say,1
161,about,1
162,character,1
163,popes,1
164,debased,1
165,condition,1
166,greeks,1
167,either,1
168,too,1
169,full,1
170,contained,1
171,should,1
172,so,2
173,condensed,1
174,suggest,1
175,more,1
176,dignity,1
177,wonderful,1
178,people,1
179,whose,1
180,exploits,1
181,ex,1
182,traordinary,1
183,achievements,1
184,very,1
185,vividly,1
186,recounted,1
187,mr,1
