,ngram,count
0,tiie,1
1,ge,1
2,nius,1
3,of,76
4,balzac,20
5,the,120
6,fame,1
7,has,7
8,grown,2
9,enormously,1
10,in,22
11,last,3
12,half,1
13,century,1
14,his,30
15,own,2
16,genera,1
17,tion,1
18,he,14
19,alone,1
20,fully,1
21,recognized,1
22,supremacy,1
23,as,7
24,a,32
25,novelist,3
26,contemporaries,2
27,preferred,1
28,lurid,1
29,fiction,1
30,sue,1
31,and,36
32,soulie,1
33,to,41
34,comedie,1
35,even,3
36,sainte,1
37,beuve,1
38,compared,1
39,genius,12
40,these,4
41,masters,1
42,ultra,1
43,romantic,4
44,barbarity,1
45,sixty,1
46,years,3
47,have,19
48,passed,1
49,however,3
50,since,2
51,publication,1
52,that,14
53,famous,1
54,causerie,1
55,enemies,1
56,blalzac,1
57,long,1
58,joined,1
59,him,10
60,grave,1
61,death,1
62,brought,2
63,forgetfulness,1
64,time,4
65,truer,1
66,per,3
67,spective,1
68,personal,3
69,idiosyncrasies,1
70,author,2
71,vulgarity,1
72,egotism,3
73,dwindled,1
74,into,5
75,matters,1
76,literary,4
77,history,1
78,what,4
79,survives,1
80,for,10
81,us,6
82,is,24
83,creator,3
84,mod,1
85,ern,1
86,novel,1
87,it,15
88,would,3
89,seem,1
90,were,1
91,ripe,1
92,an,5
93,adequate,2
94,biography,6
95,antiquarians,1
96,raked,1
97,over,2
98,all,11
99,old,1
100,anecdotes,5
101,students,1
102,spent,1
103,days,3
104,comparing,1
105,verifying,1
106,data,1
107,s,12
108,life,8
109,note,2
110,book,2
111,soon,1
112,be,8
113,published,1
114,anid,1
115,we,14
116,lack,3
117,nothing,2
118,im,1
119,portance,1
120,except,1
121,letters,8
122,mime,2
123,hanska,2
124,spite,1
125,this,15
126,no,6
127,frenclh,1
128,brunetidre,1
129,monsieur,1
130,le,1
131,breton,1
132,kept,1
133,criticism,2
134,vicomte,1
135,de,5
136,lovenjoul,1
137,antiquarian,2
138,re,1
139,search,1
140,bibliography,1
141,result,1
142,second,1
143,english,1
144,reflecting,1
145,recent,1
146,scholarship,1
147,on,3
148,its,7
149,side,1
150,makes,1
151,very,3
152,interesting,2
153,volume,1
154,mr,5
155,lawton,6
156,deserves,1
157,thanks,1
158,anglo,1
159,saxon,1
160,readers,1
161,together,1
162,important,2
163,facts,1
164,briefly,1
165,analyzed,1
166,novels,4
167,enriched,1
168,narrative,1
169,by,10
170,admirable,2
171,selection,1
172,illustra,1
173,tions,1
174,excellent,1
175,introductory,1
176,chapter,1
177,fixes,1
178,subject,2
179,historical,1
180,background,1
181,upon,1
182,canvas,1
183,figure,2
184,baizac,1
185,depicted,1
186,with,13
187,glossing,1
188,realistic,1
189,detail,1
190,great,2
191,was,7
192,not,10
193,galahad,1
194,iaps,1
195,fact,1
196,contributed,1
197,somewhat,1
198,coldness,1
199,picture,3
200,vivid,1
201,portraits,1
202,accent,1
203,warmth,2
204,sane,1
205,certainly,1
206,first,1
207,study,1
208,which,9
209,adjective,1
210,vertiginous,1
211,employed,1
212,but,13
213,such,2
214,excellence,1
215,defects,2
216,corrective,1
217,partizan,1
218,enthusi,1
219,asm,1
220,enough,1
221,collection,1
222,anec,1
223,dotes,1
224,delineation,1
225,will,9
226,fail,1
227,frederick,1
228,l,2
229,illustrated,1
230,new,1
231,york,1
232,wvessels,1
233,bissell,1
234,co,1
235,spire,1
236,general,1
237,reader,1
238,could,2
239,wished,1
240,portrait,1
241,less,2
242,purely,1
243,external,1
244,ideal,1
245,reservations,1
246,surely,1
247,after,3
248,present,2
249,sonal,1
250,force,3
251,man,6
252,justify,1
253,conception,4
254,rodin,2
255,one,6
256,must,4
257,confess,1
258,hardly,1
259,written,1
260,conzedie,1
261,than,5
262,vulgar,1
263,little,3
264,many,1
265,seems,3
266,almost,3
267,wholly,1
268,clay,1
269,honore,2
270,undoubtedly,1
271,tremen,1
272,dous,1
273,egotist,1
274,if,2
275,can,6
276,forgive,2
277,quality,2
278,living,2
279,person,1
280,ism,1
281,those,2
282,whom,1
283,known,1
284,know,1
285,balanced,1
286,qualities,3
287,go,2
288,make,2
289,up,2
290,charm,1
291,loved,1
292,or,6
293,hated,1
294,vitalized,1
295,them,1
296,two,2
297,generations,1
298,later,1
299,only,4
300,recapture,1
301,vital,2
302,heat,1
303,task,3
304,greater,1
305,difficulty,1
306,interpretation,1
307,so,3
308,biographer,4
309,led,1
310,forget,1
311,bourgeois,1
312,gentilhomme,1
313,remodel,1
314,our,3
315,shakespeare,1
316,did,2
317,give,4
318,moral,2
319,repulsion,1
320,age,2
321,toward,1
322,actor,1
323,turn,1
324,exuberant,1
325,manhood,1
326,from,5
327,petty,2
328,crime,1
329,deer,1
330,poaching,1
331,prevent,1
332,engaging,1
333,write,2
334,article,1
335,then,2
336,dickering,1
337,nameless,1
338,furnish,1
339,product,1
340,sign,1
341,sell,1
342,does,1
343,militate,1
344,against,3
345,com,1
346,synthetic,1
347,light,3
348,unity,1
349,throughout,1
350,interpret,1
351,escape,2
352,dilemma,1
353,means,1
354,reduction,1
355,pure,1
356,antiquarianism,1
357,need,1
358,far,1
359,art,2
360,reveals,1
361,most,1
362,clearly,1
363,subconscious,1
364,part,1
365,artist,2
366,mind,1
367,lives,1
368,are,5
369,really,1
370,lived,1
371,true,1
372,find,2
373,more,4
374,confronts,1
375,explains,1
376,french,1
377,may,1
378,serve,1
379,excuse,1
380,story,1
381,might,2
382,male,1
383,wonderful,2
384,any,2
385,veritable,1
386,journal,1
387,egotistic,2
388,energy,2
389,crude,1
390,uncorrected,1
391,spontaneous,1
392,they,1
393,self,2
394,personality,2
395,rises,1
396,their,1
397,pages,2
398,genie,1
399,jar,1
400,eastern,1
401,tale,1
402,feels,1
403,at,3
404,see,4
405,writing,1
406,table,1
407,solid,1
408,mahogany,1
409,worn,1
410,constant,1
411,friction,1
412,arm,1
413,eighteen,1
414,hours,1
415,day,4
416,composed,1
417,corrected,1
418,scribbling,1
419,between,2
420,proofs,1
421,russian,1
422,princesse,1
423,lointaine,1
424,feel,1
425,fire,1
426,inspiration,1
427,always,2
428,work,6
429,nights,2
430,flame,2
431,succeeding,1
432,meditation,2
433,execution,2
434,hear,1
435,exultant,1
436,cry,1
437,recounts,1
438,accom,1
439,plishment,1
440,reaction,1
441,cost,1
442,i,21
