,ngram,count
0,court,6
1,of,18
2,the,23
3,g,1
4,arn,1
5,d,1
6,saze,1
7,weimar,4
8,expectations,1
9,aroused,1
10,by,2
11,title,2
12,a,6
13,grand,2
14,duchess,3
15,and,19
16,her,7
17,dutton,1
18,are,4
19,doubly,1
20,disappointed,1
21,without,2
22,seeing,1
23,sub,1
24,sand,1
25,classical,1
26,circle,1
27,even,1
28,semi,1
29,initiated,1
30,knew,1
31,that,2
32,particular,1
33,was,3
34,anna,2
35,amalia,2
36,or,1
37,louise,1
38,saxe,2
39,handsome,1
40,outfitting,1
41,two,1
42,large,1
43,volumes,1
44,confirmation,1
45,anticipated,1
46,treat,1
47,but,4
48,alas,1
49,for,2
50,lost,1
51,opportu,1
52,nity,1
53,to,4
54,portray,1
55,in,4
56,its,2
57,best,1
58,estate,1
59,task,1
60,challenging,1
61,highest,1
62,grade,1
63,critical,1
64,historical,1
65,literary,1
66,skill,1
67,it,4
68,could,3
69,not,5
70,be,3
71,done,1
72,well,1
73,an,2
74,intimate,2
75,knowledge,1
76,appreciation,1
77,great,1
78,german,2
79,authors,1
80,who,2
81,frequented,1
82,ought,1
83,have,2
84,been,2
85,undertaken,1
86,only,2
87,person,1
88,broad,1
89,cosmo,1
90,politan,1
91,spirit,1
92,judge,1
93,both,1
94,human,1
95,beings,1
96,monarchs,1
97,author,1
98,present,1
99,book,1
100,f,1
101,gerard,1
102,manifests,1
103,none,1
104,these,3
105,qualifications,1
106,is,2
107,product,1
108,apparently,1
109,kammerjungfer,1
110,with,3
111,all,3
112,worshipful,1
113,tremulous,1
114,awe,1
115,titles,1
116,interest,1
117,costumes,1
118,tittle,1
119,tattle,1
120,igno,1
121,rance,1
122,literature,1
123,deep,1
124,indi,1
125,viduals,1
126,nations,1
127,abominable,1
128,english,1
129,quotation,1
130,marks,1
131,around,1
132,pet,1
133,words,2
134,italics,1
135,others,1
136,french,1
137,unnecessarily,1
138,introduced,1
139,elaborately,1
140,explained,1
141,commonplace,1
142,informa,1
143,tion,1
144,conscientiously,1
145,injected,1
146,into,1
147,parentheses,1
148,foot,1
149,notes,1
150,everywhere,1
151,showman,1
152,s,1
153,let,1
154,us,1
155,next,1
156,fondly,1
157,cherished,1
158,editorial,1
159,we,1
160,forgiven,1
161,if,1
162,there,1
163,were,1
164,some,1
165,strong,1
166,quality,1
167,compensate,1
168,does,1
169,lack,1
170,heroic,1
171,pathetic,1
172,elements,1
173,they,1
174,here,3
175,daily,1
176,life,1
177,would,1
178,inter,1
179,esting,1
180,study,1
181,manners,1
182,eighteenth,1
183,century,1
184,relations,1
185,goethe,1
186,schiler,1
187,more,2
188,interesting,2
189,than,1
190,those,1
191,wieland,1
192,though,1
193,less,1
194,also,1
195,has,1
196,yet,1
197,described,1
198,vital,1
199,features,1
