,ngram,count
0,woman,11
1,and,16
2,the,49
3,republic,3
4,rs,1
5,helen,2
6,kendrick,2
7,john,2
8,son,2
9,has,9
10,sent,1
11,forth,2
12,so,5
13,far,2
14,as,5
15,we,1
16,know,1
17,first,1
18,of,32
19,anti,4
20,suffrage,13
21,books,1
22,magazine,1
23,articles,1
24,there,2
25,are,3
26,thousands,1
27,al,1
28,ready,1
29,book,4
30,found,1
31,its,1
32,critics,1
33,for,6
34,subject,1
35,is,12
36,largely,1
37,personal,3
38,that,15
39,it,10
40,naturally,1
41,excites,1
42,debate,1
43,though,1
44,liter,1
45,ary,1
46,merit,1
47,volume,3
48,conceded,1
49,written,1
50,with,4
51,remarkable,1
52,freedom,1
53,from,5
54,animadversions,1
55,on,4
56,lead,1
57,by,3
58,d,1
59,appleton,1
60,co,1
61,eo,1
62,ers,1
63,historic,2
64,sequence,1
65,log,1
66,ical,1
67,force,1
68,just,2
69,how,2
70,to,23
71,set,1
72,a,14
73,movement,3
74,matter,1
75,opinion,1
76,mrs,6
77,johnson,5
78,elected,1
79,take,1
80,pro,1
81,decla,1
82,ration,1
83,sentiments,1
84,adopted,1
85,association,1
86,in,14
87,basis,1
88,her,4
89,counter,1
90,arguments,1
91,doing,1
92,she,7
93,possibly,1
94,not,8
95,given,3
96,weight,2
97,enough,1
98,changes,2
99,their,6
100,base,1
101,supplies,1
102,while,1
103,could,3
104,have,4
105,shown,1
106,more,3
107,strongly,1
108,than,2
109,done,2
110,suffragists,1
111,effected,2
112,what,1
113,they,2
114,claim,1
115,party,1
116,been,1
117,strengthened,1
118,through,1
119,practical,1
120,mistakes,1
121,pros,3
122,witnessed,1
123,es,1
124,pecially,1
125,history,1
126,school,2
127,suf,1
128,frage,1
129,much,1
130,space,2
131,proving,1
132,exercise,1
133,ballot,1
134,natural,2
135,right,1
136,but,6
137,political,2
138,expe,1
139,dient,1
140,because,1
141,many,2
142,already,1
143,grant,1
144,this,3
145,well,1
146,de,1
147,vote,1
148,pages,1
149,status,1
150,women,4
151,since,1
152,dietrick,1
153,other,1
154,labored,1
155,prove,2
156,originally,1
157,held,1
158,higher,1
159,rank,1
160,last,1
161,twenty,1
162,years,1
163,physiological,1
164,biological,1
165,psy,1
166,chological,1
167,grounds,2
168,scarcely,1
169,alludes,1
170,serious,1
171,loss,1
172,work,1
173,these,1
174,however,1
175,unpleasantly,1
176,frank,1
177,may,3
178,be,7
179,considered,1
180,treat,1
181,them,1
182,rests,1
183,great,2
184,scientific,1
185,position,1
186,becoming,1
187,clearer,1
188,bi,1
189,sexual,1
190,theory,1
191,being,1
192,demonstrated,1
193,sex,1
194,question,3
195,indeed,1
196,treated,1
197,special,1
198,chapter,2
199,ot,1
200,rather,1
201,side,1
202,voting,1
203,jury,1
204,serv,1
205,ice,1
206,office,1
207,holding,1
208,sentence,1
209,indicative,1
210,ground,1
211,which,2
212,granted,1
213,mak,1
214,ing,2
215,present,1
216,situation,1
217,portentous,1
218,should,3
219,quoted,1
220,very,1
221,tenderheartedness,1
222,men,1
223,our,1
224,time,1
225,comes,1
226,danger,1
227,nation,1
228,desiring,1
229,hold,1
230,slightest,1
231,restriction,1
232,over,1
233,re,1
234,public,1
235,rush,1
236,into,1
237,an,2
238,attempt,1
239,at,2
240,abdi,1
241,cation,1
242,sovereignty,1
243,did,1
244,originate,1
245,will,1
246,environment,1
247,order,1
248,sincerity,1
249,desire,1
250,even,1
251,appear,1
252,compelled,1
253,obey,1
254,attaches,1
255,importance,1
256,argument,1
257,voter,1
258,bear,1
259,arms,1
260,can,1
261,do,2
262,fore,1
263,archy,1
264,or,1
265,democracy,1
266,admirably,1
267,proves,1
268,education,1
269,trade,1
270,philanthropy,1
271,suffer,1
272,if,2
273,never,1
274,voted,1
275,would,4
276,had,1
277,instances,1
278,like,1
279,vassar,1
280,college,1
281,willard,1
282,troy,1
283,show,1
284,independence,1
285,any,3
286,origin,1
287,course,1
288,dents,1
289,always,1
290,questioned,1
291,write,1
292,second,1
293,giv,1
294,concrete,1
295,examples,1
296,progress,1
297,independent,1
298,large,1
299,service,1
300,laws,1
301,excellent,1
302,such,1
303,way,1
304,eg,1
305,passage,1
306,mar,1
307,ried,1
308,s,2
309,property,1
310,rights,1
311,bill,1
312,l,1
313,was,1
314,absolutely,1
315,free,1
316,con,1
317,nection,1
318,judge,1
319,fine,1
320,origi,1
321,nated,1
322,out,1
323,regard,1
324,moneyed,1
325,welfare,1
326,his,1
327,wife,1
328,daughter,1
329,legislative,1
330,benefit,1
331,various,1
332,states,1
333,due,1
334,primarily,1
335,chiefly,1
336,masculine,1
337,legal,1
338,sense,1
339,expediency,1
340,justice,1
341,exercised,1
342,all,1
343,depart,1
344,ments,1
345,legislation,1
346,pleasant,1
347,note,1
348,further,1
349,excellences,1
350,forbids,1
351,timely,1
352,widely,1
353,carefully,1
354,read,1
355,bearing,1
356,mind,1
357,easily,1
358,become,1
359,issued,1
360,reply,1
361,previous,1
362,publications,1
363,must,1
364,answer,1
365,charges,1
